년도,시도,사설학원수,대학교_숫자,중학생인원수변화,초등학생인원수변화,고등학생인원수변화,유치원원아수변화,대학생숫자,의원,병원,종합병원,상급종합병원,의사,치과의사,한의사,약사,간호사,기타보건의료인,주택수,빈집수,자동차등록대수,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸,총_인구,남성_인구,여성_인구,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
2014,부산광역시,4529,22,104128,155754,101513,43909,273109,2157,132,23,4,7341.0,1581.0,1536.0,2380.0,12660.0,2901.0,,,17380896,381957,55145,49300,2558970.0,1.5,17935,2519,2107,6890,1259,1160,5384,389,218,8572,1751,1263,6662,1224,933,7924,1395,758,70602,11401,12730,1464,293,322,2257,514,335,51762,10858,9575,49694,3220,2781,97120,14569,12824,19491,2346,1557,467,37,18,66,24,2,35654,3345,2715,13,1,2,3519401,1740417,1778984,,,7070.0,1972.0,,,84345.8,67846.8,3973205.0
2014,대구광역시,3651,11,89291,131765,98916,34554,128645,1598,111,7,4,5195.0,1166.0,999.0,1753.0,8502.0,2014.0,,,14583073,264875,39148,34878,2352273.0,1.6,11646,1862,1453,5206,1029,928,3940,244,130,6901,1428,1064,4223,837,659,5199,738,439,46871,7142,9213,874,135,147,1614,319,209,35310,7845,6634,29672,2339,1887,67666,10744,8997,14757,1659,1099,344,30,19,118,33,2,30523,2761,1995,11,3,3,2493264,1241119,1252145,,,17290.0,,,,53214.0,42203.2,2591818.0
2014,인천광역시,3167,7,96490,156740,123853,40369,72961,1403,52,17,2,4167.0,1081.0,827.0,1515.0,6500.0,1982.0,,,20097823,286863,45562,46934,2637047.0,1.1,12445,2114,1698,6133,1359,1247,3481,292,150,6299,1479,1049,4709,1123,759,4818,880,512,58362,8417,9625,788,219,157,2106,556,360,37526,8747,7334,34969,2990,9898,66404,11938,10114,17074,2342,1675,538,55,34,71,19,6,31119,3031,2315,21,1,1,2902608,1459074,1443534,,,12928.0,2410.0,,,66365.0,32603.1,3220968.0
2014,전라북도,3989,20,67182,101860,73433,23296,130363,1084,76,11,2,3351.0,811.0,862.0,1262.0,5427.0,1763.0,,,11461086,178892,28371,22729,2462123.0,2.3,8977,1349,1036,3089,722,614,2529,181,109,5031,1075,763,2673,488,345,2879,440,217,24409,4340,4478,358,69,82,701,146,134,27118,5944,4845,20177,1261,1129,48099,7545,6570,16592,1518,1134,374,26,19,3246,1708,84,12549,1550,1159,91,9,11,1871560,931536,940024,,,104036.0,2308.0,,,24625.9,17303.3,1641746.0
2014,경상북도,3842,34,85118,131307,92328,37274,223541,1190,85,19,0,3464.0,814.0,928.0,1374.0,7096.0,1876.0,,,17878739,271397,39823,34020,2703967.0,3.3,13518,1896,1492,5153,1022,943,2854,189,112,6355,1341,972,4296,935,723,3655,466,296,35717,6252,6708,467,95,100,981,197,148,48211,9820,8034,28765,2029,1600,64515,9728,8401,24508,1832,1471,790,62,58,668,311,17,30749,3626,2914,195,22,31,2700794,1356182,1344612,,,192583.0,3636.0,,,31642.7,37942.2,2963881.0
2014,광주광역시,3497,17,61682,93163,65636,22288,117615,889,74,20,2,3194.0,909.0,637.0,1097.0,6147.0,1384.0,,,8351445,147975,25014,22533,2493312.0,3.1,7757,1299,1090,3361,776,736,2345,234,143,5171,1128,911,2758,608,441,3125,549,297,24417,4251,5112,525,146,101,985,189,139,21258,5367,4615,15881,1131,1652,39256,6781,5653,10909,1253,788,186,24,18,282,111,6,9738,1162,826,21,5,5,1475884,731339,744545,,,11869.0,,,,24782.2,19139.3,1428496.0
2014,충청남도,2732,21,70209,115056,70238,26096,215287,1003,50,10,2,2855.0,797.0,743.0,1167.0,4122.0,1336.0,,,13976063,207960,32520,28989,2841711.0,3.9,10508,1527,1259,3864,831,741,2470,204,124,4580,947,749,3464,811,582,3040,492,290,34108,5749,7133,338,65,54,794,172,127,35900,7692,6275,19208,1746,1410,51336,8001,7160,18732,1606,1281,521,47,31,605,306,19,18365,2309,1733,127,15,21,2062273,1045892,1016381,,,135335.0,9229.0,,,29451.1,18907.1,2624962.0
2014,전라남도,2853,19,64300,95720,74903,18951,83456,892,82,22,1,2887.0,645.0,724.0,1153.0,6471.0,1833.0,,,13688569,173284,25232,22117,2780187.0,2.1,8301,1247,990,2903,582,608,2044,138,90,3591,701,568,2074,415,302,2392,347,202,19398,3243,4057,264,53,53,573,107,89,30385,6202,5249,22006,1430,1181,45746,6799,6090,17971,1240,1027,474,52,35,1622,824,37,12874,1728,1433,666,124,106,1905780,951975,953805,,,160142.0,21246.0,,,17164.0,25822.9,1751096.0
2014,울산광역시,2351,4,43150,65810,47877,18336,35759,553,39,6,0,1542.0,454.0,376.0,603.0,3214.0,693.0,,,6948158,112595,17821,16113,2952210.0,4.2,5632,822,696,2712,529,505,1475,108,63,3479,681,558,2259,454,329,3034,603,301,19742,3000,3842,293,92,67,382,73,54,19401,4400,3761,12284,800,719,24180,4020,3504,8249,801,617,226,10,14,32,7,1,9199,1419,1080,16,2,2,1166377,600904,565473,,,11559.0,940.0,,,21981.2,14873.6,1611003.0
2014,충청북도,2350,16,54970,86508,61009,17489,134283,793,41,10,1,2247.0,503.0,549.0,930.0,3303.0,1103.0,,,10573419,166442,26193,22041,2535148.0,0.9,8169,1237,1001,3463,758,651,1899,177,84,4068,846,548,2745,523,400,2503,372,240,27567,4686,5322,324,94,70,665,129,90,27841,6079,4820,17306,1511,1103,39796,6539,5467,15167,1339,921,451,32,23,483,237,11,13908,1628,1280,87,6,10,1578933,796141,782792,,,76436.0,,,,19076.8,19741.1,1684169.0
