"시도별(1)","시점",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의
"시도별(1)","시점",전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,의원,의원,보건소 및 보건기관,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,의원,의원,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타
"시도별(1)","시점",소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,소계,병상없음,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,소계,병상없음,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계
"서울","2019",28333,9383,5009,2714,1291,1004,1928,598,1330,470,65,361,44,11366,2182,9184,114,63,1785,615,135,81,28,26,49,22,27,64,7,50,7,879,77,802,26,17,1526,1033,493,362,110,21,-,-,-,-,-,-,-,3623,2409,1169,706,357,106,45,37,8,-,-,-,-,21399,5326,3212,1565,796,851,1834,539,1295,406,58,311,37,10487,2105,8382,88,46
"서울","2020",29136,9608,5008,2905,1179,924,1966,626,1340,502,82,365,55,11865,2191,9674,108,79,1645,466,104,50,30,24,57,30,27,60,6,43,11,917,77,840,22,19,1615,1153,462,350,90,22,-,-,-,-,-,-,-,3756,2568,1145,788,285,72,43,35,8,-,-,-,-,22120,5421,3297,1717,774,806,1866,561,1305,442,76,322,44,10948,2114,8834,86,60
"부산","2010",5730,1498,1159,390,480,289,585,391,194,195,12,139,44,2248,690,1558,45,-,356,57,24,6,11,7,24,15,9,43,3,21,19,192,39,153,16,-,295,216,79,28,47,4,-,-,-,-,-,-,-,896,606,289,153,109,27,1,-,1,-,-,-,-,4183,619,767,203,313,251,560,376,184,152,9,118,25,2056,651,1405,29,-
"부산","2011",6074,1469,1361,316,692,353,636,411,225,262,12,199,51,2315,723,1592,31,-,364,70,27,7,11,9,22,13,9,48,3,32,13,190,37,153,7,-,250,146,104,30,68,6,-,-,-,-,-,-,-,893,603,287,64,193,30,3,-,3,-,-,-,-,4567,650,943,215,420,308,611,398,213,214,9,167,38,2125,686,1439,24,-
"부산","2012",6411,1505,1423,347,734,342,726,474,252,333,20,252,61,2388,725,1663,32,4,374,44,46,11,23,12,22,13,9,57,3,39,15,195,39,156,10,-,200,94,106,35,64,7,-,-,-,-,-,-,-,942,659,282,67,192,23,1,-,1,-,-,-,-,4895,708,989,234,455,300,703,461,242,276,17,213,46,2193,686,1507,22,4
"부산","2013",6665,1525,1441,280,823,338,805,522,283,392,39,289,64,2465,745,1720,30,7,421,61,58,13,28,17,16,9,7,59,3,41,15,216,38,178,9,2,137,72,65,25,37,3,-,-,-,-,-,-,-,973,669,301,49,236,16,3,-,3,-,-,-,-,5134,723,1017,193,522,302,786,513,273,333,36,248,49,2249,707,1542,21,5
"부산","2014",6832,1536,1498,303,841,354,818,512,306,456,55,342,59,2482,738,1744,37,5,417,59,55,15,21,19,17,9,8,59,3,43,13,215,44,171,11,1,266,190,76,9,60,7,-,-,-,-,-,-,-,825,520,304,81,212,11,1,-,1,-,-,-,-,5324,767,1063,198,548,317,800,503,297,397,52,299,46,2267,694,1573,26,4
"부산","2015",6996,1531,1529,427,743,359,857,533,324,503,60,390,53,2536,696,1840,35,5,426,59,55,21,20,14,19,9,10,70,8,47,15,213,39,174,9,1,302,183,119,42,72,5,-,-,-,-,-,-,-,767,511,256,102,140,14,-,-,-,-,-,-,-,5501,778,1099,262,511,326,838,524,314,433,52,343,38,2323,657,1666,26,4
"부산","2016",7243,1533,1568,438,726,404,856,476,380,600,74,487,39,2647,653,1994,30,9,417,51,32,12,10,10,17,10,7,76,6,58,12,230,28,202,7,4,328,230,98,21,72,5,-,-,-,-,-,-,-,748,454,293,142,131,20,1,-,1,-,-,-,-,5750,798,1145,263,513,369,838,466,372,524,68,429,27,2417,625,1792,23,5
"부산","2017",7442,1573,1541,449,660,432,890,426,464,663,111,513,39,2739,687,2052,28,8,470,89,47,17,17,13,18,7,11,77,9,55,13,229,28,201,7,3,168,116,52,19,29,4,-,-,-,-,-,-,-,794,512,282,140,130,12,-,-,-,-,-,-,-,6010,856,1160,273,484,403,872,419,453,586,102,458,26,2510,659,1851,21,5
"부산","2018",7472,1558,1517,453,620,444,904,429,475,674,121,516,37,2779,630,2149,33,7,483,112,31,5,17,9,15,7,8,70,10,51,9,242,23,219,10,3,326,250,76,32,40,4,-,-,-,-,-,-,-,600,345,255,137,104,14,-,-,-,-,-,-,-,6063,851,1155,279,459,417,889,422,467,604,111,465,28,2537,607,1930,23,4
"부산","2019",7643,1544,1568,383,735,450,946,461,485,667,124,521,22,2879,594,2285,32,7,405,46,31,14,9,8,15,8,7,57,8,45,4,244,18,226,9,3,214,123,91,57,29,5,-,-,-,-,-,-,-,742,508,232,76,143,13,2,-,2,-,-,-,-,6282,867,1214,236,554,424,929,453,476,610,116,476,18,2635,576,2059,23,4
"부산","2020",7720,1531,1569,371,782,416,978,475,503,686,131,528,27,2909,559,2350,38,9,383,28,33,9,14,10,11,6,5,54,9,43,2,247,18,229,7,3,185,87,98,62,32,4,-,-,-,-,-,-,-,745,555,188,65,112,11,2,-,2,-,-,-,-,6407,861,1250,235,624,391,965,469,496,632,122,485,25,2662,541,2121,31,6
