"시점","행정구역별",데이터
"2020","부산광역시",101058.8
"2020","대구광역시",57156.5
"2020","인천광역시",51948.8
"2020","광주광역시",28573.7
"2020","대전광역시",38725.4
"2020","울산광역시",18231.6
"2020","세종특별자치시",251734.3
"2020","경기도",24939.5
"2020","강원도",23634.2
"2020","충청북도",27669.5
"2020","충청남도",38260
"2020","전라북도",25070.1
"2020","전라남도",36756.8
"2020","경상북도",51352.9
"2020","경상남도",10308.9
"2020","제주특별자치도",14025.4
"2021","전국",1869023.7
"2021","서울특별시",1025793.2
"2021","부산광역시",96071.3
"2021","대구광역시",60019.8
"2021","인천광역시",57520.5
"2021","광주광역시",30480.8
"2021","대전광역시",40425.1
"2021","울산광역시",19383.7
"2021","세종특별자치시",271034.3
"2021","경기도",28054.8
"2021","강원도",25567.9
"2021","충청북도",29966.9
"2021","충청남도",39664.3
"2021","전라북도",26144.7
"2021","전라남도",38504.8
"2021","경상북도",55631.9
"2021","경상남도",10710.3
"2021","제주특별자치도",14049.4
