"경제활동별(1)","시점","시도별(1)",실질
"지역내총생산(시장가격)","1997","제주특별자치도",8057569
"지역내총생산(시장가격)","1998","서울특별시",195891236
"지역내총생산(시장가격)","1998","부산광역시",44426186
"지역내총생산(시장가격)","1998","대구광역시",28738612
"지역내총생산(시장가격)","1998","인천광역시",37317452
"지역내총생산(시장가격)","1998","광주광역시",16743576
"지역내총생산(시장가격)","1998","대전광역시",19922027
"지역내총생산(시장가격)","1998","울산광역시",43126637
"지역내총생산(시장가격)","1998","경기도",116843281
"지역내총생산(시장가격)","1998","강원도",24050209
"지역내총생산(시장가격)","1998","충청북도",22690502
"지역내총생산(시장가격)","1998","충청남도",34724126
"지역내총생산(시장가격)","1998","전라북도",26187025
"지역내총생산(시장가격)","1998","전라남도",44321517
"지역내총생산(시장가격)","1998","경상북도",41615486
"지역내총생산(시장가격)","1998","경상남도",47958037
"지역내총생산(시장가격)","1998","제주특별자치도",7456360
"지역내총생산(시장가격)","1999","서울특별시",213043805
"지역내총생산(시장가격)","1999","부산광역시",49763153
"지역내총생산(시장가격)","1999","대구광역시",31512976
"지역내총생산(시장가격)","1999","인천광역시",40446510
"지역내총생산(시장가격)","1999","광주광역시",18092047
"지역내총생산(시장가격)","1999","대전광역시",21139402
"지역내총생산(시장가격)","1999","울산광역시",47763922
"지역내총생산(시장가격)","1999","경기도",140742745
"지역내총생산(시장가격)","1999","강원도",25204250
"지역내총생산(시장가격)","1999","충청북도",26115197
"지역내총생산(시장가격)","1999","충청남도",40169928
"지역내총생산(시장가격)","1999","전라북도",28618114
"지역내총생산(시장가격)","1999","전라남도",45036095
"지역내총생산(시장가격)","1999","경상북도",47828898
"지역내총생산(시장가격)","1999","경상남도",53563712
"지역내총생산(시장가격)","1999","제주특별자치도",7957145
"지역내총생산(시장가격)","2000","서울특별시",234450139
"지역내총생산(시장가격)","2000","부산광역시",51705541
"지역내총생산(시장가격)","2000","대구광역시",33378959
"지역내총생산(시장가격)","2000","인천광역시",43019365
"지역내총생산(시장가격)","2000","광주광역시",19742330
"지역내총생산(시장가격)","2000","대전광역시",23066261
"지역내총생산(시장가격)","2000","울산광역시",49333661
"지역내총생산(시장가격)","2000","경기도",157417148
"지역내총생산(시장가격)","2000","강원도",26145825
"지역내총생산(시장가격)","2000","충청북도",27699659
"지역내총생산(시장가격)","2000","충청남도",44559007
"지역내총생산(시장가격)","2000","전라북도",30236753
"지역내총생산(시장가격)","2000","전라남도",47559118
"지역내총생산(시장가격)","2000","경상북도",54673687
"지역내총생산(시장가격)","2000","경상남도",57821766
"지역내총생산(시장가격)","2000","제주특별자치도",8587855
"지역내총생산(시장가격)","2001","서울특별시",244418894
"지역내총생산(시장가격)","2001","부산광역시",55382619
"지역내총생산(시장가격)","2001","대구광역시",34134803
"지역내총생산(시장가격)","2001","인천광역시",46255108
