"시점","행정구역별(1)",재정자주도(세입과목개편전),재정자주도(세입과목개편후)
"2008","전라북도",70.1,-
"2008","전라남도",69.5,-
"2008","경상북도",75.1,-
"2008","경상남도",74.5,-
"2008","제주특별자치도",67.4,-
"2009","전국",78.9,-
"2009","서울특별시",93.7,-
"2009","부산광역시",74.0,-
"2009","대구광역시",75.3,-
"2009","인천광역시",82.0,-
"2009","광주광역시",73.6,-
"2009","대전광역시",74.5,-
"2009","울산광역시",80.2,-
"2009","경기도",84.4,-
"2009","강원도",75.4,-
"2009","충청북도",74.6,-
"2009","충청남도",72.4,-
"2009","전라북도",71.7,-
"2009","전라남도",67.9,-
"2009","경상북도",74.6,-
"2009","경상남도",75.0,-
"2009","제주특별자치도",65.0,-
"2010","전국",75.7,-
"2010","서울특별시",87.2,-
"2010","부산광역시",72.5,-
"2010","대구광역시",73.6,-
"2010","인천광역시",80.1,-
"2010","광주광역시",69.2,-
"2010","대전광역시",71.9,-
"2010","울산광역시",78.8,-
"2010","경기도",81.5,-
"2010","강원도",71.7,-
"2010","충청북도",70.9,-
"2010","충청남도",71.7,-
"2010","전라북도",68.9,-
"2010","전라남도",64.4,-
"2010","경상북도",73.0,-
"2010","경상남도",73.3,-
"2010","제주특별자치도",62.1,-
"2011","전국",76.7,-
"2011","서울특별시",91.7,-
"2011","부산광역시",74.3,-
"2011","대구광역시",74.1,-
"2011","인천광역시",79.4,-
"2011","광주광역시",69.9,-
"2011","대전광역시",74.9,-
"2011","울산광역시",81.0,-
"2011","경기도",81.8,-
"2011","강원도",73.3,-
"2011","충청북도",71.5,-
"2011","충청남도",71.1,-
"2011","전라북도",67.8,-
"2011","전라남도",65.2,-
"2011","경상북도",73.6,-
"2011","경상남도",74.2,-
"2011","제주특별자치도",63.9,-
"2012","전국",77.2,-
"2012","서울특별시",91.5,-
"2012","부산광역시",75.7,-
"2012","대구광역시",75.4,-
"2012","인천광역시",80.6,-
"2012","광주광역시",69.9,-
"2012","대전광역시",76.2,-
"2012","울산광역시",80.9,-
"2012","경기도",81.7,-
"2012","강원도",74.1,-
"2012","충청북도",73.6,-
"2012","충청남도",71.0,-
"2012","전라북도",69.3,-
"2012","전라남도",66.8,-
"2012","경상북도",73.1,-
"2012","경상남도",74.5,-
"2012","제주특별자치도",68.1,-
"2013","전국",76.6,-
"2013","서울특별시",90.1,-
"2013","부산광역시",74.1,-
"2013","대구광역시",75.0,-
"2013","인천광역시",77.3,-
"2013","광주광역시",67.6,-
"2013","대전광역시",75.4,-
"2013","울산광역시",80.0,-
"2013","세종특별자치시",77.7,-
"2013","경기도",81.4,-
"2013","강원도",74.1,-
"2013","충청북도",73.6,-
"2013","충청남도",71.8,-
"2013","전라북도",69.1,-
"2013","전라남도",68.5,-
"2013","경상북도",73.2,-
"2013","경상남도",73.4,-
"2013","제주특별자치도",70.6,-
"2014","전국",74.7,69.2
"2014","서울특별시",85.5,81.2
"2014","부산광역시",72.6,66.6
"2014","대구광역시",73.2,67.6
"2014","인천광역시",76.1,71.8
"2014","광주광역시",66.5,62.5
"2014","대전광역시",72.1,66.6
"2014","울산광역시",78.2,69.4
"2014","세종특별자치시",80.3,77.3
"2014","경기도",78.0,71.5
"2014","강원도",72.8,68.3
"2014","충청북도",73.2,66.1
"2014","충청남도",71.3,65.9
"2014","전라북도",67.3,63.1
"2014","전라남도",67.1,62.4
"2014","경상북도",72.5,66.1
"2014","경상남도",72.8,66.5
"2014","제주특별자치도",70.8,66.9
"2015","전국",73.4,68.0
"2015","서울특별시",85.4,81.4
"2015","부산광역시",71.0,65.1
"2015","대구광역시",71.9,65.7
"2015","인천광역시",73.7,68.4
"2015","광주광역시",67.1,62.0
"2015","대전광역시",71.7,66.2
"2015","울산광역시",79.6,71.1
"2015","세종특별자치시",78.0,67.2
"2015","경기도",75.9,70.0
"2015","강원도",69.1,64.6
"2015","충청북도",72.2,65.6
"2015","충청남도",70.3,65.5
"2015","전라북도",66.5,61.1
"2015","전라남도",65.5,60.5
"2015","경상북도",71.1,65.4
"2015","경상남도",72.0,66.1
"2015","제주특별자치도",69.5,63.4
"2016","전국",74.2,68.4
"2016","서울특별시",85.8,81.8
"2016","부산광역시",71.7,62.5
"2016","대구광역시",73.5,67.0
"2016","인천광역시",77.3,72.9
"2016","광주광역시",69.9,65.0
"2016","대전광역시",72.0,67.3
"2016","울산광역시",80.5,70.6
"2016","세종특별자치시",76.0,61.2
"2016","경기도",76.9,71.1
"2016","강원도",68.8,64.1
"2016","충청북도",72.2,65.7
"2016","충청남도",71.8,66.6
"2016","전라북도",67.7,61.6
"2016","전라남도",65.6,61.1
"2016","경상북도",70.7,63.5
"2016","경상남도",72.3,65.5
"2016","제주특별자치도",70.1,63.4
"2017","전국",74.9,68.4
"2017","서울특별시",86.2,81.7
"2017","부산광역시",70.1,62.8
"2017","대구광역시",72.7,65.9
"2017","인천광역시",75.9,71.0
"2017","광주광역시",68.8,64.4
"2017","대전광역시",74.3,68.1
"2017","울산광역시",78.4,68.8
"2017","세종특별자치시",80.1,67.6
"2017","경기도",78.3,69.6
"2017","강원도",73.0,68.0
"2017","충청북도",73.3,65.2
"2017","충청남도",72.2,67.3
"2017","전라북도",68.1,61.8
"2017","전라남도",67.2,60.9
"2017","경상북도",70.5,64.1
"2017","경상남도",72.6,66.3
"2017","제주특별자치도",71.8,65.9
"2018","전국",75.3,68.7
"2018","서울특별시",85.5,80.4
"2018","부산광역시",68.3,61.9
"2018","대구광역시",70.6,64.0
"2018","인천광역시",77.2,70.6
"2018","광주광역시",68.8,63.6
"2018","대전광역시",73.0,65.6
"2018","울산광역시",76.0,70.0
"2018","세종특별자치시",72.9,60.8
"2018","경기도",78.8,70.8
"2018","강원도",76.2,71.1
"2018","충청북도",73.4,65.6
"2018","충청남도",72.3,67.8
"2018","전라북도",69.2,62.8
"2018","전라남도",67.8,61.2
"2018","경상북도",72.3,65.2
"2018","경상남도",73.4,66.4
"2018","제주특별자치도",74.8,66.9
"2019","전국",74.2,67.8
"2019","서울특별시",83.7,78.0
"2019","부산광역시",68.0,61.4
"2019","대구광역시",68.9,63.2
"2019","인천광역시",75.6,68.7
"2019","광주광역시",68.9,62.8
"2019","대전광역시",71.0,66.6
"2019","울산광역시",74.4,68.3
"2019","세종특별자치시",76.4,65.8
"2019","경기도",77.3,69.4
"2019","강원도",75.9,70.8
"2019","충청북도",72.8,65.6
"2019","충청남도",72.1,67.3
"2019","전라북도",69.2,63.1
"2019","전라남도",68.2,61.6
"2019","경상북도",71.9,64.9
"2019","경상남도",71.5,64.4
"2019","제주특별자치도",70.9,67.4
"2020","전국",73.9,68.7
"2020","서울특별시",83.1,77.8
"2020","부산광역시",66.6,61.0
"2020","대구광역시",66.5,61.5
"2020","인천광역시",72.1,66.3
"2020","광주광역시",66.6,62.4
"2020","대전광역시",67.7,63.1
"2020","울산광역시",72.2,67.5
"2020","세종특별자치시",70.8,65.2
"2020","경기도",75.5,69.3
"2020","강원도",76.1,73.1
"2020","충청북도",73.5,68.8
"2020","충청남도",73.7,69.8
"2020","전라북도",71.8,66.6
"2020","전라남도",71.6,66.7
"2020","경상북도",73.9,68.9
"2020","경상남도",71.4,65.7
"2020","제주특별자치도",70.3,63.1
"2021","전국",70.8,65.7
"2021","서울특별시",82.6,77.6
"2021","부산광역시",62.2,58.4
"2021","대구광역시",64.4,60.2
"2021","인천광역시",68.4,62.7
"2021","광주광역시",64.3,60.7
"2021","대전광역시",65.3,60.1
"2021","울산광역시",70.0,65.2
"2021","세종특별자치시",71.0,65.8
"2021","경기도",73.7,67.2
"2021","강원도",71.4,67.5
"2021","충청북도",67.8,63.2
"2021","충청남도",69.0,64.4
"2021","전라북도",65.4,60.8
"2021","전라남도",67.9,63.1
"2021","경상북도",69.0,64.1
"2021","경상남도",68.3,62.9
"2021","제주특별자치도",68.6,62.5
"2022","전국",73.4,68.8
"2022","서울특별시",83.2,78.6
"2022","부산광역시",66.3,59.6
"2022","대구광역시",68.0,64.8
"2022","인천광역시",71.4,66.5
"2022","광주광역시",67.3,62.4
"2022","대전광역시",68.5,64.0
"2022","울산광역시",72.6,66.7
"2022","세종특별자치시",72.4,63.4
"2022","경기도",75.4,70.7
"2022","강원도",74.5,71.6
"2022","충청북도",72.0,67.5
"2022","충청남도",71.1,67.1
"2022","전라북도",69.8,65.5
"2022","전라남도",71.6,67.5
"2022","경상북도",73.5,69.1
"2022","경상남도",69.8,65.1
"2022","제주특별자치도",70.5,66.1
