"시점","행정구역별",데이터
"1999","울산광역시",435565
"1999","경기도",3927530
"1999","강원도",470653
"1999","충청북도",452873
"1999","충청남도",576734
"1999","전라북도",509380
"1999","전라남도",521585
"1999","경상북도",859060
"1999","경상남도",971730
"1999","제주특별자치도",211125
"2000","서울특별시",6204198
"2000","부산광역시",1433043
"2000","대구광역시",931262
"2000","인천광역시",1015232
"2000","광주광역시",484267
"2000","대전광역시",555674
"2000","울산광역시",465115
"2000","경기도",4568691
"2000","강원도",498217
"2000","충청북도",474345
"2000","충청남도",633958
"2000","전라북도",530720
"2000","전라남도",562042
"2000","경상북도",948694
"2000","경상남도",1060249
"2000","제주특별자치도",234896
"2001","서울특별시",7934080
"2001","부산광역시",1795145
"2001","대구광역시",1107077
"2001","인천광역시",1298962
"2001","광주광역시",583547
"2001","대전광역시",687863
"2001","울산광역시",573814
"2001","경기도",6433095
"2001","강원도",643920
"2001","충청북도",603088
"2001","충청남도",802258
"2001","전라북도",657589
"2001","전라남도",702574
"2001","경상북도",1151561
"2001","경상남도",1362762
"2001","제주특별자치도",327544
"2002","서울특별시",9430644
"2002","부산광역시",2159986
"2002","대구광역시",1292069
"2002","인천광역시",1530259
"2002","광주광역시",673652
"2002","대전광역시",840070
"2002","울산광역시",645293
"2002","경기도",8016993
"2002","강원도",709719
"2002","충청북도",670854
"2002","충청남도",883520
"2002","전라북도",698245
"2002","전라남도",766044
"2002","경상북도",1196264
"2002","경상남도",1636180
"2002","제주특별자치도",375952
"2003","서울특별시",9813152
"2003","부산광역시",2255064
"2003","대구광역시",1466047
"2003","인천광역시",1550572
"2003","광주광역시",723552
"2003","대전광역시",904146
"2003","울산광역시",720223
"2003","경기도",8251187
"2003","강원도",762126
"2003","충청북도",732413
"2003","충청남도",1076601
"2003","전라북도",742063
"2003","전라남도",773130
"2003","경상북도",1261304
"2003","경상남도",1714012
"2003","제주특별자치도",387351
"2004","서울특별시",9726335
"2004","부산광역시",2183113
"2004","대구광역시",1402023
"2004","인천광역시",1565667
"2004","광주광역시",699005
"2004","대전광역시",873172
"2004","울산광역시",787832
"2004","경기도",8585194
