"시점","행정구역별",데이터
"2014","전라북도",24625.9
"2014","전라남도",17164
"2014","경상북도",31642.7
"2014","경상남도",62681.3
"2014","제주도",8312.3
"2014","세종특별자치시",3535
"2015","전국",1346815.8
"2015","서울특별시",525529.1
"2015","부산광역시",92109.5
"2015","대구광역시",61642.8
"2015","인천광역시",69059
"2015","광주광역시",28259.6
"2015","대전광역시",27830
"2015","울산광역시",24057.9
"2015","경기도",284496.7
"2015","강원도",15464.9
"2015","충청북도",21044.6
"2015","충청남도",32255
"2015","전라북도",26242.4
"2015","전라남도",19216.7
"2015","경상북도",35582.2
"2015","경상남도",68619.5
"2015","제주도",10191
"2015","세종특별자치시",5215
"2016","전국",1424149.2
"2016","서울특별시",544592.1
"2016","부산광역시",99122.7
"2016","대구광역시",66966.8
"2016","인천광역시",73804.8
"2016","광주광역시",30354.2
"2016","대전광역시",29590.8
"2016","울산광역시",25364.2
"2016","경기도",305720.4
"2016","강원도",16415.4
"2016","충청북도",22070
"2016","충청남도",33828.8
"2016","전라북도",27330.1
"2016","전라남도",20060
"2016","경상북도",37300
"2016","경상남도",72333
"2016","제주도",12548.2
"2016","세종특별자치시",6747.6
"2017","전국",1504333.3
"2017","서울특별시",569688
"2017","부산광역시",106819.1
"2017","대구광역시",71095.8
"2017","인천광역시",80147.3
"2017","광주광역시",31038.5
"2017","대전광역시",31050.7
"2017","울산광역시",26949.2
"2017","경기도",326152.3
"2017","강원도",17587.6
"2017","충청북도",23178.8
"2017","충청남도",35278.9
"2017","전라북도",28323
"2017","전라남도",21010.3
"2017","경상북도",39225.6
"2017","경상남도",74494.8
"2017","제주도",14707.9
"2017","세종특별자치시",7585.8
"2018","전국",1600280.5
"2018","서울특별시",607389.3
"2018","부산광역시",113616.7
"2018","대구광역시",74462
"2018","인천광역시",85660.7
"2018","광주광역시",33475.5
"2018","대전광역시",33252
"2018","울산광역시",27620.7
"2018","경기도",350553.6
"2018","강원도",19200.5
"2018","충청북도",25028.7
"2018","충청남도",36232.6
"2018","전라북도",29107.6
"2018","전라남도",22228.8
"2018","경상북도",40939.9
"2018","경상남도",76526.6
"2018","제주도",16633.8
"2018","세종특별자치시",8351.6
"2019","전국",1698612.9
"2019","서울특별시",641634.1
"2019","부산광역시",120127.2
"2019","대구광역시",80062.2
"2019","인천광역시",92157.9
"2019","광주광역시",36888.6
"2019","대전광역시",35318.1
"2019","울산광역시",28495.1
"2019","경기도",376464.3
"2019","강원도",20991.4
"2019","충청북도",26399.9
"2019","충청남도",37360.9
"2019","전라북도",30488.3
"2019","전라남도",23785.6
"2019","경상북도",43118.9
"2019","경상남도",78235.3
"2019","제주도",18281.1
"2019","세종특별자치시",8803.9
"2020","전국",1893716.2
"2020","서울특별시",726164.1
"2020","부산광역시",132190.5
"2020","대구광역시",88740.3
"2020","인천광역시",102078.5
"2020","광주광역시",42161.3
"2020","대전광역시",39341.3
"2020","울산광역시",30498.2
"2020","경기도",419831.8
"2020","강원도",22831.4
"2020","충청북도",28669.1
"2020","충청남도",41097
"2020","전라북도",33132
"2020","전라남도",26806.6
"2020","경상북도",47189.5
"2020","경상남도",82937.6
"2020","제주도",20182.3
"2020","세종특별자치시",9864.7
"2021","전국",2050701.6
"2021","서울특별시",798751.7
"2021","부산광역시",143137.7
"2021","대구광역시",98777.2
"2021","인천광역시",109129.1
"2021","광주광역시",45930.7
"2021","대전광역시",41555
"2021","울산광역시",31856
"2021","경기도",451097.2
"2021","강원도",23886.3
"2021","충청북도",30442.5
"2021","충청남도",44345.3
"2021","전라북도",34004.7
"2021","전라남도",28202.3
"2021","경상북도",48442
"2021","경상남도",89499.3
"2021","제주도",21106.6
"2021","세종특별자치시",10538.1
