,년도,시도,총 인구,남성 인구,여성 인구,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
108,2019,울산광역시,1148019,589712,558307,6672.0,39305.0,11478.0,726.0,779733.0,1601664.0,28495.1,16646.3,2040650.0
109,2019,세종특별자치시,340575,169845,170730,10145.0,58784.0,5878.0,,0.0,387151.0,8803.9,223043.4,666939.0
110,2019,경기도,13239666,6659995,6579671,10217.0,47546.0,109470.0,581.0,6088898.0,15889947.0,376464.3,25501.3,24138048.0
111,2019,강원도,1541502,775386,766116,4924.0,34879.0,66659.0,1870.0,,994061.0,20991.4,21582.6,2168668.0
112,2019,충청북도,1600007,810384,789623,5195.0,31152.0,70735.0,,,1047462.0,26399.9,25555.5,2573152.0
113,2019,충청남도,2123709,1081938,1041771,5225.0,29534.0,119903.0,8136.0,,1660244.0,37360.9,36495.5,3560335.0
114,2019,전라북도,1818917,904110,914807,4973.0,28877.0,94735.0,2951.0,,1026389.0,30488.3,23693.8,2292195.0
115,2019,전라남도,1868745,937674,931071,4765.0,30196.0,143798.0,18680.0,,765325.0,23785.6,34777.2,2714787.0
116,2019,경상북도,2665836,1342037,1323799,5067.0,31316.0,174917.0,2568.0,,1328605.0,43118.9,47388.8,3922794.0
117,2019,경상남도,3362553,1692032,1670521,6804.0,32049.0,122083.0,7662.0,910370.0,2537443.0,78235.3,9847.4,5098712.0
118,2019,제주특별자치도,670989,337345,333644,7289.0,50459.0,31111.0,4046.0,,504479.0,18281.1,11646.8,1519568.0
119,2020,서울특별시,9668465,4701723,4966742,11077.0,67839.0,8418.0,,11969440.0,18641029.0,726164.1,898371.8,25531987.0
120,2020,부산광역시,3391946,1661000,1730946,6712.0,36542.0,11967.0,1816.0,2885218.0,5308053.0,132190.5,101058.8,6199573.0
121,2020,대구광역시,2418346,1193109,1225237,7894.0,40826.0,24809.0,,2039066.0,3744897.0,88740.3,57156.5,3959389.0
122,2020,인천광역시,2942828,1473943,1468885,8498.0,40605.0,13239.0,1575.0,,2352315.0,102078.5,51948.8,5187705.0
123,2020,광주광역시,1450062,717348,732714,6035.0,35554.0,16676.0,,839159.0,1605407.0,42161.3,28573.7,2267962.0
124,2020,대전광역시,1463882,730699,733183,6562.0,36864.0,13491.0,,996096.0,2049133.0,39341.3,38725.4,2252393.0
125,2020,울산광역시,1136017,583708,552309,6776.0,39420.0,15284.0,630.0,689253.0,1530772.0,30498.2,18231.6,2093867.0
126,2020,세종특별자치시,355831,177568,178263,10793.0,59671.0,7163.0,,0.0,444181.0,9864.7,251734.3,795242.0
127,2020,경기도,13427014,6754469,6672545,10213.0,48437.0,120979.0,561.0,5351854.0,15842625.0,419831.8,24939.5,25801039.0
128,2020,강원도,1542840,776505,766335,5619.0,34307.0,67436.0,1698.0,,1007019.0,22831.4,23634.2,2653723.0
129,2020,충청북도,1600837,811591,789246,5547.0,30193.0,66425.0,,,1038923.0,28669.1,27669.5,2770501.0
130,2020,충청남도,2121029,1082634,1038395,5644.0,30466.0,122142.0,6480.0,,1613849.0,41097.0,38260.0,4125636.0
131,2020,전라북도,1804104,896874,907230,5378.0,29732.0,93305.0,2243.0,,1007536.0,33132.0,25070.1,2921771.0
132,2020,전라남도,1851549,930615,920934,4545.0,31512.0,136972.0,15574.0,,774880.0,26806.6,36756.8,3564716.0
133,2020,경상북도,2639422,1329211,1310211,5228.0,30457.0,165754.0,2210.0,,1301362.0,47189.5,51352.9,4589594.0
134,2020,경상남도,3340216,1681423,1658793,7067.0,31511.0,120768.0,7311.0,748723.0,2420259.0,82937.6,10308.9,5731861.0
135,2020,제주특별자치도,674635,338609,336026,7869.0,52147.0,30365.0,3001.0,,512463.0,20182.3,14025.4,1601823.0
136,2021,서울특별시,9509458,4618040,4891418,11716.0,76578.0,7031.0,,14932635.0,21524961.0,798751.7,1025793.2,28382503.0
137,2021,부산광역시,3350380,1639044,1711336,8339.0,44042.0,11137.0,1546.0,3471702.0,5980683.0,143137.7,96071.3,6468033.0
138,2021,대구광역시,2385412,1175632,1209780,8594.0,43848.0,23893.0,,2459525.0,4223038.0,98777.2,60019.8,4246517.0
139,2021,인천광역시,2948375,1476373,1472002,8907.0,45085.0,12647.0,1657.0,,2535262.0,109129.1,57520.5,5923870.0
140,2021,광주광역시,1441611,713015,728596,6593.0,39428.0,14708.0,,1002968.0,1783129.0,45930.7,30480.8,2392719.0
141,2021,대전광역시,1452251,724626,727625,8106.0,45581.0,12241.0,,1387741.0,2444257.0,41555.0,40425.1,2511095.0
142,2021,울산광역시,1121592,576217,545375,6963.0,43167.0,13408.0,568.0,766994.0,1605564.0,31856.0,19383.7,2216360.0
143,2021,세종특별자치시,371895,185678,186217,13063.0,75688.0,6573.0,,0.0,491456.0,10538.1,271034.3,877116.0
144,2021,경기도,13565450,6827298,6738152,11026.0,56678.0,114901.0,582.0,6574133.0,17463137.0,451097.2,28054.8,29735913.0
145,2021,강원도,1538492,774332,764160,5539.0,37877.0,68300.0,1682.0,,1077890.0,23886.3,25567.9,2875409.0
146,2021,충청북도,1597427,810672,786755,5064.0,31811.0,70177.0,,,1081105.0,30442.5,29966.9,3149318.0
147,2021,충청남도,2119257,1083366,1035891,5802.0,31483.0,120324.0,6509.0,,1720943.0,44345.3,39664.3,4595115.0
148,2021,전라북도,1786855,888994,897861,5869.0,34160.0,90862.0,2391.0,,1051666.0,34004.7,26144.7,3063559.0
149,2021,전라남도,1832803,922221,910582,4622.0,31646.0,146024.0,15912.0,,802944.0,28202.3,38504.8,3730749.0
150,2021,경상북도,2626609,1323661,1302948,5014.0,31143.0,169774.0,2116.0,,1390332.0,48442.0,55631.9,4898316.0
151,2021,경상남도,3314183,1668338,1645845,6751.0,33588.0,117660.0,7419.0,838942.0,2546440.0,89499.3,10710.3,6046173.0
152,2021,제주특별자치도,676759,339177,337582,7764.0,56760.0,31549.0,2944.0,,538352.0,21106.6,14049.4,1685665.0
153,2022,서울특별시,9428372,4570048,4858324,11972.0,81710.0,,,16577899.0,23199823.0,,,
154,2022,부산광역시,3317812,1619915,1697897,8632.0,47470.0,,,4002990.0,6451407.0,,,
