,년도,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,빈집수,"협회 및 단체, 수리 및 기타 개인서비스업 소멸",도매 및 소매업 신생,교육서비스업 소멸,예금은행대출금액,예금액
85,2018,경기도,13077153,1871621,88175,268,752499,249635.0,7531,49364,6526,350553.6,23680.4
86,2018,서울특별시,9765623,1549937,58074,394,424800,93867.0,5935,41812,4724,607389.3,728762.8
87,2018,경상남도,3373988,395524,21224,59,191016,131870.0,1961,11003,1673,76526.6,9305.7
88,2018,부산광역시,3441453,442854,19152,65,152775,99458.0,1945,12472,1486,113616.7,80983.6
89,2018,대구광역시,2461769,335400,14400,87,125160,40861.0,1514,9007,1232,74462.0,48437.4
90,2018,인천광역시,2954642,433706,20087,59,158871,64927.0,1844,11223,1202,85660.7,44338.0
91,2018,전라북도,1836832,257097,10001,50,97606,86732.0,1091,6490,795,29107.6,22167.1
92,2018,경상북도,2676831,318671,16079,54,129290,136805.0,1494,8567,1228,40939.9,43841.2
93,2018,광주광역시,1459336,225108,9105,37,88622,37220.0,1181,5652,803,33475.5,24104.4
94,2018,충청남도,2126282,282221,14380,42,120152,106443.0,1319,7340,857,36232.6,27566.9
95,2018,전라남도,1882970,232414,11238,19,94134,118648.0,1054,6157,637,22228.8,32334.2
96,2018,울산광역시,1155623,140576,8149,32,67290,29265.0,770,3491,635,27620.7,15886.4
97,2018,충청북도,1599252,213737,10586,41,85344,74757.0,958,5479,600,25028.7,24605.0
98,2018,대전광역시,1489936,227632,9337,45,83453,29900.0,1068,5677,758,33252.0,30908.9
99,2018,강원도,1543052,220252,8351,31,75412,72384.0,952,4866,702,19200.5,19412.9
100,2018,제주특별자치도,667191,95349,4781,22,40096,32603.0,394,2744,327,16633.8,11864.7
101,2018,세종특별자치시,314126,55000,3703,6,24865,14242.0,142,962,256,8351.6,206787.8
102,2019,경기도,13239666,1806296,83198,264,769744,278815.0,8340,52700,7022,376464.3,25501.3
103,2019,서울특별시,9729107,1476081,53673,391,422293,93402.0,6014,42897,4826,641634.1,791160.6
104,2019,경상남도,3362553,405561,19250,58,194606,147173.0,2142,11406,1636,78235.3,9847.4
105,2019,부산광역시,3413841,435058,17049,67,155589,109651.0,2350,13569,1522,120127.2,90142.9
106,2019,대구광역시,2438031,336092,13233,91,126122,40721.0,1597,9712,1352,80062.2,52113.4
107,2019,인천광역시,2957026,422351,18522,59,160853,66695.0,2066,11826,1428,92157.9,46757.3
108,2019,전라북도,1818917,241523,8971,50,97731,91138.0,1180,6946,902,30488.3,23693.8
109,2019,경상북도,2665836,311082,14472,54,131374,143560.0,1787,9159,1234,43118.9,47388.8
110,2019,광주광역시,1456468,221005,8364,35,88990,39625.0,1261,5575,948,36888.6,25261.5
111,2019,충청남도,2123709,259584,13228,42,122424,107609.0,1384,7776,966,37360.9,36495.5
112,2019,전라남도,1868745,233271,10832,19,94952,121767.0,1191,6796,798,23785.6,34777.2
113,2019,울산광역시,1148019,152228,7539,33,68512,33114.0,759,3486,655,28495.1,16646.3
114,2019,충청북도,1600007,208831,9333,40,86709,77520.0,1097,5918,737,26399.9,25555.5
115,2019,대전광역시,1474870,228766,8410,46,82743,29640.0,1085,5833,906,35318.1,33905.4
116,2019,강원도,1541502,215965,8283,32,75617,84382.0,1164,5238,744,20991.4,21582.6
117,2019,제주특별자치도,670989,92030,4500,23,41068,36566.0,462,2758,348,18281.1,11646.8
118,2019,세종특별자치시,340575,58674,3819,7,27892,16437.0,167,1080,287,8803.9,223043.4
119,2020,경기도,13427014,1984199,77737,265,761731,272358.0,8777,63145,6554,419831.8,24939.5
120,2020,서울특별시,9668465,1642977,47445,385,409536,96629.0,6318,49581,4490,726164.1,898371.8
121,2020,경상남도,3340216,419997,16823,59,190849,150982.0,2337,12160,1600,82937.6,10308.9
122,2020,부산광역시,3391946,506176,15058,67,153527,113410.0,2363,14454,1495,132190.5,101058.8
123,2020,대구광역시,2418346,364083,11193,87,122587,39069.0,1678,9605,1201,88740.3,57156.5
124,2020,인천광역시,2942828,460304,16040,60,156928,65861.0,1978,13214,1112,102078.5,51948.8
125,2020,전라북도,1804104,257577,8165,48,94661,95412.0,1260,6953,778,33132.0,25070.1
126,2020,경상북도,2639422,334679,12873,53,129079,139770.0,1827,9471,1106,47189.5,51352.9
127,2020,광주광역시,1450062,232246,7318,36,86419,41585.0,1241,5810,704,42161.3,28573.7
128,2020,충청남도,2121029,286386,11950,43,120115,106430.0,1559,8409,909,41097.0,38260.0
129,2020,전라남도,1851549,248770,9738,18,92405,122103.0,1342,6948,604,26806.6,36756.8
130,2020,울산광역시,1136017,149696,6617,34,67397,30241.0,875,3754,589,30498.2,18231.6
131,2020,충청북도,1600837,226441,8607,40,85135,76877.0,1265,6103,591,28669.1,27669.5
132,2020,대전광역시,1463882,243418,7481,44,79807,26983.0,1240,6405,739,39341.3,38725.4
133,2020,강원도,1542840,217897,7835,32,73478,84106.0,1285,5554,683,22831.4,23634.2
134,2020,제주특별자치도,674635,94736,3989,23,40575,35105.0,595,2856,398,20182.3,14025.4
135,2020,세종특별자치시,355831,65909,3468,7,29487,14385.0,208,1361,339,9864.7,251734.3
