"Ω√¡°","∑π∫ß01(1)","«◊∏Ò",º≠øÔ,∫ŒªÍ,¥Î±∏,¿Œ√µ,±§¡÷,¥Î¿¸,øÔªÍ,∞Ê±‚,ºº¡æ,∞≠ø¯,√Ê∫œ,√Ê≥≤,¿¸∫œ,¿¸≥≤,∞Ê∫œ,∞Ê≥≤,¡¶¡÷
"Ω√¡°","∑π∫ß01(1)","«◊∏Ò",∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë
"2019.09","√—∞Ë","∞Ë",3121687,1389650,1185649,1620746,674470,672494,564365,5730156,159691,781072,835104,1114620,928868,1050910,1442658,1717885,585258
"2019.10","√—∞Ë","∞Ë",3121416,1388608,1188000,1626363,675189,672772,564232,5737503,161210,780527,836367,1115906,926653,1052808,1442841,1715314,588305
"2019.11","√—∞Ë","∞Ë",3122433,1391928,1190399,1630074,675894,673178,564813,5752090,162354,781620,837197,1116490,927129,1054290,1443922,1717767,592565
"2019.12","√—∞Ë","∞Ë",3124157,1395183,1190154,1635323,676281,673899,565639,5765692,163339,782700,837602,1118117,929061,1056239,1446262,1721503,596215
"2020.01","√—∞Ë","∞Ë",3127566,1397058,1191489,1637440,677933,675265,566595,5779063,164499,784808,839191,1121349,931231,1060779,1449761,1726327,599932
"2020.02","√—∞Ë","∞Ë",3123984,1398638,1191697,1635589,678442,675685,566679,5780213,165486,785806,840706,1123220,932211,1061661,1451298,1729944,602132
"2020.03","√—∞Ë","∞Ë",3125333,1399109,1193893,1639859,680363,677716,567857,5802596,166449,786827,844979,1125409,933400,1063156,1450719,1732075,607343
"2020.04","√—∞Ë","∞Ë",3128523,1402669,1196824,1657465,682127,678837,568443,5830690,166957,788883,846760,1126299,933573,1064788,1452909,1736777,596569
"2020.05","√—∞Ë","∞Ë",3133353,1406405,1197218,1660785,683239,679867,569209,5854653,167232,791908,849472,1129557,935790,1068577,1455796,1741496,601521
"2020.06","√—∞Ë","∞Ë",3141710,1411326,1200662,1665497,685555,681266,571307,5885065,167623,795954,853770,1134773,939033,1074212,1460261,1748690,606379
"2020.07","√—∞Ë","∞Ë",3147149,1415199,1205069,1670275,687391,683138,573415,5903746,168535,799492,856237,1138897,941129,1079202,1463495,1752882,612325
"2020.08","√—∞Ë","∞Ë",3148071,1416802,1211905,1667158,687007,682815,573145,5917648,169426,800987,857437,1140409,941836,1081567,1464146,1754183,615868
"2020.09","√—∞Ë","∞Ë",3151842,1420059,1216725,1667770,689331,685034,573573,5943551,170144,803231,860035,1143395,943762,1086836,1466566,1758976,620562
"2020.10","√—∞Ë","∞Ë",3153732,1423215,1215989,1671017,689966,684826,573848,5963358,171791,805197,862160,1145285,945153,1089330,1469376,1762651,624052
"2020.11","√—∞Ë","∞Ë",3157278,1426672,1217653,1675610,691412,685561,574878,5984827,173424,807595,864302,1147853,947366,1092952,1472796,1767073,627823
"2020.12","√—∞Ë","∞Ë",3157361,1429040,1219196,1676442,691740,686429,575700,6004126,174742,809099,865620,1149845,948147,1099894,1475389,1787867,615342
"2021.01","√—∞Ë","∞Ë",3159552,1433188,1220935,1678004,693200,688150,577224,6029375,176189,811186,867747,1153066,950028,1107423,1479439,1793823,617940
"2021.02","√—∞Ë","∞Ë",3158102,1435474,1221573,1676743,693594,688212,577732,6044759,177219,813669,870249,1155874,951744,1114129,1482508,1799501,621438
"2021.03","√—∞Ë","∞Ë",3158710,1437756,1222893,1677177,694618,688610,578716,6055860,178290,815714,872718,1159859,954255,1120389,1487963,1803936,626331
"2021.04","√—∞Ë","∞Ë",3159075,1440236,1219856,1674313,694011,689873,578699,6072288,178762,814922,874972,1159944,952899,1129402,1487145,1805914,629896
"2021.05","√—∞Ë","∞Ë",3160629,1444108,1216753,1674508,693698,687234,578127,6087478,179241,815883,876158,1160139,952275,1133090,1486529,1808091,633402
"2021.06","√—∞Ë","∞Ë",3162985,1447940,1217764,1677134,694339,687078,578256,6107399,179849,817883,878510,1162414,953697,1138877,1487705,1812275,638146
"2021.07","√—∞Ë","∞Ë",3171767,1451280,1210314,1676657,695263,688738,578933,6127039,180692,819960,885191,1165887,955522,1143884,1490637,1818582,643176
"2021.08","√—∞Ë","∞Ë",3171749,1454212,1211148,1676301,696226,689721,579023,6145247,181167,821037,886839,1167337,956427,1146892,1491873,1819967,645967
"2021.09","√—∞Ë","∞Ë",3175142,1454607,1210508,1669917,697653,690678,579372,6159671,181795,822701,888315,1169366,956910,1157097,1493296,1822154,648822
"2021.10","√—∞Ë","∞Ë",3173961,1456984,1209936,1669444,698433,691081,579825,6172022,182919,824601,889537,1171593,957850,1160809,1494965,1825064,651613
"2021.11","√—∞Ë","∞Ë",3177236,1460503,1210298,1672220,699627,692045,580822,6187925,183673,826552,890882,1174234,959559,1164295,1497479,1828658,655469
"2021.12","√—∞Ë","∞Ë",3176743,1464608,1211095,1675405,700783,692702,581429,6204452,185042,828146,892301,1176350,959920,1172282,1499200,1832049,658594
"2022.01","√—∞Ë","∞Ë",3178074,1468456,1213125,1679985,702532,693937,582444,6222390,186619,830615,894381,1179523,961813,1175111,1502731,1836949,661977
"2022.02","√—∞Ë","∞Ë",3179328,1472614,1214343,1683410,703173,694713,583123,6232987,187695,832447,896629,1182226,963048,1178686,1505267,1840537,665065
"2022.03","√—∞Ë","∞Ë",3180299,1475346,1215776,1688267,704823,696012,583455,6249722,188487,834715,899077,1185855,965151,1181182,1508545,1844900,668568
"2022.04","√—∞Ë","∞Ë",3182255,1478387,1217300,1690967,704970,697565,583536,6267959,189153,836252,900844,1187832,965873,1186700,1510194,1848563,672616
"2022.05","√—∞Ë","∞Ë",3184795,1481856,1218159,1695419,705650,698942,583904,6282930,189859,837523,902536,1190087,966564,1189844,1510324,1853436,675581
"2022.06","√—∞Ë","∞Ë",3187333,1485460,1219864,1698725,706600,699873,584660,6296728,190534,839342,904327,1192816,968174,1194125,1511929,1858492,676710
"2022.07","√—∞Ë","∞Ë",3189670,1487758,1222724,1704045,708257,701928,585114,6312915,191279,841784,907008,1196570,969988,1200089,1515225,1865594,679842
"2022.08","√—∞Ë","∞Ë",3189058,1489204,1224123,1706891,709195,702972,585311,6319406,191679,843718,909026,1199239,971454,1203264,1517482,1870334,682576
"2022.09","√—∞Ë","∞Ë",3190525,1491912,1225493,1707044,710889,704163,585946,6334553,192137,846000,911054,1202258,972987,1207654,1515161,1873695,684467
"2022.10","√—∞Ë","∞Ë",3190108,1495361,1226904,1697990,711909,705190,586692,6346842,192577,847736,912853,1205121,974366,1225745,1518009,1878668,686563
"2022.11","√—∞Ë","∞Ë",3192112,1497992,1229448,1693367,713371,706862,587727,6363121,193235,849987,915027,1208960,976318,1235465,1521514,1887577,689278
"2022.12","√—∞Ë","∞Ë",3193351,1499503,1230183,1692760,714401,707928,588079,6378632,193711,851553,916455,1211477,977834,1236858,1523914,1896515,689924
