시군구,년도,전출인구,출생아수,산부인과의원수,cluster_id
강남구,2013,100020,4551,46,0.0
강남구,2014,104412,4654,48,0.0
강남구,2015,114523,4595,52,0.0
강남구,2016,108949,4122,52,0.0
강남구,2017,103367,3456,56,0.0
강남구,2018,106802,2940,55,0.0
강남구,2019,93716,2749,53,0.0
강남구,2020,101582,2356,49,0.0
강남구,2021,98106,2204,51,0.0
송파구,2013,108855,5963,24,0.0
송파구,2014,107490,6001,25,0.0
송파구,2015,111346,5899,21,0.0
송파구,2016,112735,5500,21,0.0
송파구,2017,107154,4976,23,0.0
송파구,2018,101486,4567,25,0.0
송파구,2019,116301,4424,24,0.0
송파구,2020,116457,3791,24,0.0
송파구,2021,113651,3469,25,0.0
강동구,2013,75508,4070,20,0.33
강동구,2014,75575,4089,20,0.33
강동구,2015,94194,3865,21,0.0
강동구,2016,84535,3293,19,0.33
강동구,2017,90819,2968,18,0.0
강동구,2018,68933,2659,17,0.33
강동구,2019,67292,2437,17,0.33
강동구,2020,78271,2535,17,0.33
강동구,2021,74444,2810,19,0.33
