시군구,년도,전입인구,전출인구,등록외국인,주민등록인구,출생아수,산부인과의원수,소아청소년과의원수,문화기반시설수
구로구,2021,48170,54880,24409,396754,2229,12,18,16
금천구,2013,34966,38174,17234,241020,1739,8,9,6
금천구,2014,33510,37071,19567,238463,1820,9,10,6
금천구,2015,34056,37303,19883,236284,1885,9,10,6
금천구,2016,34870,36528,19268,235386,1595,10,10,6
금천구,2017,34230,34907,18337,235154,1498,10,10,6
금천구,2018,33794,35508,20104,233917,1314,10,11,6
금천구,2019,32416,33728,19010,232810,1154,11,11,7
금천구,2020,35753,36963,16102,231733,1092,10,11,7
금천구,2021,35663,35047,14080,230811,1012,10,11,7
영등포구,2013,57690,65125,35106,386471,3448,19,21,9
영등포구,2014,59057,65662,39084,382352,3480,18,23,9
영등포구,2015,58936,65678,39307,378504,3611,19,22,10
영등포구,2016,61308,71785,36166,370613,3282,19,20,11
영등포구,2017,62622,66039,33474,368550,2805,18,22,11
영등포구,2018,59862,62108,35822,367778,2698,17,23,12
영등포구,2019,56874,58253,33308,367678,2633,17,24,11
영등포구,2020,79309,68526,27887,379480,2296,17,20,11
영등포구,2021,60565,61108,24071,376837,2402,17,19,11
동작구,2013,70907,67868,10672,410815,3712,10,20,6
동작구,2014,63291,69117,11791,407470,3765,10,17,7
동작구,2015,66694,76096,12133,400641,3643,10,18,7
동작구,2016,66425,68243,12250,400997,3184,10,18,7
동작구,2017,60949,66978,12276,396217,2814,10,16,7
동작구,2018,65099,66105,13182,396203,2417,10,15,8
동작구,2019,61168,62047,12949,395963,2227,9,15,8
동작구,2020,64496,69650,10352,391220,2044,9,15,8
동작구,2021,64257,68311,8881,385483,1831,9,14,9
관악구,2013,89789,97304,17100,518028,4140,20,25,10
관악구,2014,90987,98182,18774,513186,4071,20,25,10
관악구,2015,94590,100724,19368,509663,3960,21,24,10
관악구,2016,91198,96179,18756,506851,3561,21,22,10
관악구,2017,90303,94943,17632,503297,2931,20,22,11
관악구,2018,94403,96477,18083,501957,2582,20,22,11
관악구,2019,93583,95788,17240,500094,2245,20,21,11
관악구,2020,98301,103226,14743,495060,1905,21,20,11
관악구,2021,89756,95711,13750,485699,1707,21,18,10
서초구,2013,80562,76974,4778,441763,4081,26,29,14
서초구,2014,79323,74512,4610,449678,4135,24,29,15
서초구,2015,76543,83320,4494,446764,4078,24,31,14
서초구,2016,71136,74319,4285,447192,3629,25,31,14
서초구,2017,68680,76574,4299,441102,3039,23,31,17
서초구,2018,74658,83489,4212,433951,2919,24,30,19
서초구,2019,63335,67634,4281,430826,2512,26,29,19
서초구,2020,71250,77669,3899,425126,2238,29,28,22
서초구,2021,70064,81777,3888,412279,2163,36,26,22
강남구,2013,96256,100020,5553,563599,4551,46,28,24
강남구,2014,115906,104412,5332,578114,4654,48,27,25
강남구,2015,108537,114523,5265,576495,4595,52,28,24
강남구,2016,95358,108949,5025,567115,4122,52,30,25
강남구,2017,90474,103367,4888,556164,3456,56,29,28
강남구,2018,91611,106802,5089,542364,2940,55,30,25
강남구,2019,95557,93716,5040,545169,2749,53,28,26
강남구,2020,95325,101582,4824,539231,2356,49,28,28
강남구,2021,94082,98106,4758,533042,2204,51,30,27
송파구,2013,99953,108855,6540,668415,5963,24,41,14
송파구,2014,99723,107490,7056,664738,6001,25,42,14
송파구,2015,101994,111346,7178,660302,5899,21,43,18
송파구,2016,105735,112735,7115,657831,5500,21,43,19
송파구,2017,110872,107154,6677,664496,4976,23,46,20
송파구,2018,101060,101486,6872,666635,4567,25,45,20
송파구,2019,123273,116301,6780,675961,4424,24,47,21
송파구,2020,106928,116457,5966,667960,3791,24,45,21
송파구,2021,105181,113651,5627,658338,3469,25,40,20
강동구,2013,68569,75508,4590,483379,4070,20,28,9
강동구,2014,66412,75575,4735,476597,4089,20,29,9
강동구,2015,73720,94194,4663,458658,3865,21,24,9
강동구,2016,67962,84535,4303,444168,3293,19,25,9
강동구,2017,81615,90819,4136,436223,2968,18,23,10
강동구,2018,59334,68933,4347,427573,2659,17,24,12
강동구,2019,75101,67292,4323,436067,2437,17,26,12
강동구,2020,101437,78271,4028,459970,2535,17,25,13
강동구,2021,77883,74444,3808,462664,2810,19,27,13
