시군구,년도,principal_col,cluster_id,pred_cluster
노원구,2015,0.6264456652091563,0.33,0.03572418180773346
노원구,2016,0.5866727302731961,0.33,0.06563321835616892
노원구,2017,0.5108748113185124,0.33,0.12263285220167791
노원구,2018,0.4270724386879978,0.33,0.18565179284277944
노원구,2019,0.3781511269036448,0.33,0.2224403603576373
노원구,2020,0.4032101602319814,0.33,0.20359609993550692
노원구,2021,0.3469504899056775,0.33,0.2459030742310092
은평구,2013,0.3534016807678437,0.33,0.24105181284966698
은평구,2014,0.36770521720527344,0.33,0.23029562915923052
은평구,2015,0.3425739727337741,0.33,0.24919419197879616
은평구,2016,0.2851405952937422,0.33,0.29238378781123486
은평구,2017,0.17239878309530166,0.33,0.3771650338271344
은평구,2018,0.14639809000296117,0.33,0.39671741740746597
은평구,2019,0.14690409191594767,0.33,0.3963369066472352
