시군구,년도,전출인구,출생아수,산부인과의원수,초등학교수,cluster_id,pred_cluster
구로구,2018,58543,2658,12,24,0.67,0.5825114117458796
구로구,2019,53666,2460,12,26,0.67,0.6539984240251996
구로구,2020,64024,2269,12,26,0.33,0.5114743244481161
구로구,2021,54880,2229,12,26,0.67,0.6382613942384876
금천구,2013,38174,1739,8,18,1.0,0.8577926909502702
금천구,2014,37071,1820,9,18,1.0,0.8731534231115743
금천구,2015,37303,1885,9,17,1.0,0.8681172736940861
금천구,2016,36528,1595,10,17,1.0,0.880657130781497
금천구,2017,34907,1498,10,18,1.0,0.9050728155411532
금천구,2018,35508,1314,10,18,1.0,0.897605018511562
금천구,2019,33728,1154,11,18,1.0,0.9234565879264709
금천구,2020,36963,1092,10,18,1.0,0.8784895327049955
금천구,2021,35047,1012,10,18,1.0,0.9053881343922492
영등포구,2013,65125,3448,19,23,0.33,0.48945025267048337
영등포구,2014,65662,3480,18,23,0.33,0.4814019703037834
영등포구,2015,65678,3611,19,23,0.33,0.4810379338332659
영등포구,2016,71785,3282,19,23,0.33,0.39801020797743625
영등포구,2017,66039,2805,18,23,0.33,0.4793123735268867
영등포구,2018,62108,2698,17,23,0.67,0.5337695359433527
영등포구,2019,58253,2633,17,23,0.67,0.5874446507282284
영등포구,2020,68526,2296,17,23,0.33,0.44677442956075075
영등포구,2021,61108,2402,17,23,0.67,0.5489874549457177
동작구,2013,67868,3712,10,21,0.33,0.4430184771579203
동작구,2014,69117,3765,10,21,0.33,0.4254799057509707
동작구,2015,76096,3643,10,21,0.33,0.32941916941921634
동작구,2016,68243,3184,10,21,0.33,0.4402749074254849
동작구,2017,66978,2814,10,21,0.33,0.4595049859407426
동작구,2018,66105,2417,10,21,0.33,0.473432903517809
동작구,2019,62047,2227,9,21,0.67,0.5300333061395346
동작구,2020,69650,2044,9,21,0.33,0.4256159589002587
동작구,2021,68311,1831,9,21,0.33,0.44514255564620153
관악구,2013,97304,4140,20,22,0.0,0.03965519914017923
관악구,2014,98182,4071,20,22,0.0,0.027818974929275653
관악구,2015,100724,3960,21,22,0.0,-0.006396139030497183
관악구,2016,96179,3561,21,22,0.0,0.05838105869257393
