,총인구,전출인구,출생아수,산부인과의원수,초등학교수
94,0.7803679385395925,0.6088613723692479,0.5419331262561667,0.2,0.9999999999999999
95,0.7611236182429868,0.5497306151040969,0.42444728668006576,0.22000000000000003,0.9999999999999999
96,0.741525163425854,0.5017976162269632,0.3793166453498995,0.22000000000000003,0.9999999999999999
97,0.7236955744025786,0.6008158808319511,0.31500091357573545,0.22000000000000003,0.9999999999999999
98,0.7018675175531472,0.5056915929249122,0.31006760460442173,0.22000000000000003,0.9999999999999999
99,0.6886850407074017,0.5967364766721951,0.6630732687739814,0.22000000000000003,0.6333333333333332
100,0.6796220878759518,0.6331935759686009,0.6499177781838115,0.22000000000000003,0.6333333333333332
101,0.6783139583205351,0.6793341093815993,0.6106340215603874,0.18,0.6
102,0.6666708825538157,0.6545692417046964,0.5470491503745661,0.14,0.6
103,0.6582114038542846,0.5588886714122361,0.43888178329983557,0.12,0.6
104,0.6517123126790998,0.5370700400729348,0.39740544491138313,0.14,0.6
105,0.6459937628960977,0.5494524739113863,0.34332176137401793,0.14,0.6333333333333332
106,0.6456378215667922,0.5849309282704768,0.2952676776904805,0.14,0.6333333333333332
107,0.6338429738627043,0.49001267087655676,0.28284304768865337,0.12,0.6
108,0.3462044367996357,0.3119714029647791,0.33436871916681893,0.06,0.19999999999999996
109,0.3394578128218378,0.3135063302875155,0.3299835556367623,0.06,0.19999999999999996
110,0.3426468303153604,0.3685988894955342,0.30093184725013705,0.04000000000000001,0.19999999999999996
111,0.3463562087370045,0.35902877216115703,0.30568244107436504,0.020000000000000018,0.23333333333333328
112,0.343837517300194,0.31833774582015595,0.25269504841951396,0.08000000000000002,0.23333333333333328
113,0.3393439838688112,0.29977439658813465,0.20445824958889092,0.08000000000000002,0.23333333333333328
114,0.3376889470279802,0.2811595397278337,0.18143614105609357,0.06,0.23333333333333328
115,0.34270464819626273,0.3522606698051981,0.18362872282112186,0.06,0.23333333333333328
116,0.32941737644138164,0.2851153255797183,0.16407820208295265,0.06,0.23333333333333328
117,0.46860850428755724,0.4713051002853522,0.5101406906632561,0.32,0.33333333333333326
118,0.4750823001398469,0.4920214683794669,0.5198245934587978,0.36,0.33333333333333326
119,0.47906450668699924,0.5446416614300578,0.5660515256714782,0.38,0.33333333333333326
120,0.4650599318471728,0.5501941837586146,0.523296181253426,0.4,0.33333333333333326
121,0.45606744455807263,0.45640909418684905,0.4173213959437237,0.38,0.33333333333333326
122,0.45636014758014093,0.4294397000195729,0.3654302941713868,0.4,0.33333333333333326
123,0.45447745283325686,0.41400801458696035,0.3299835556367623,0.4,0.33333333333333326
124,0.4506018480040183,0.5076900889021664,0.2716974237164261,0.4,0.33333333333333326
125,0.44520852380109205,0.44028720653528786,0.2614653754796273,0.4,0.33333333333333326
126,0.668571645388482,0.5060212417459026,0.5516170290517085,0.22000000000000003,0.6
127,0.6571761024243761,0.5293748004079404,0.5479627261099946,0.2,0.6
128,0.6541244023979966,0.5278501746108598,0.5477800109629088,0.18,0.6
129,0.6418507503676856,0.5667899415903495,0.5126987027224558,0.18,0.6
130,0.6299529145632401,0.4465196295571374,0.42901516535720813,0.2,0.6
131,0.617361264187966,0.4432746489755133,0.33966745843230406,0.2,0.6
132,0.6064842753432034,0.38475168172406327,0.30951945916316465,0.18,0.6
133,0.5994124257853295,0.5010353033284229,0.24611730312442903,0.18,0.6
134,0.5868569115856193,0.42296004038198054,0.2373469760643157,0.18,0.6
135,0.8068684028894486,0.6887806084081052,0.8580303307144163,0.16000000000000003,0.7999999999999999
136,0.8359399561306828,0.7949069257156984,0.894573360131555,0.14,0.7999999999999999
137,0.8430118056885567,0.7738197026979695,0.965466837200804,0.14,0.7999999999999999
138,0.8545952567655954,0.7584704294706046,0.9004202448382972,0.14,0.7999999999999999
139,0.8658083120431033,0.6912220699885653,0.7805591083500822,0.16000000000000003,0.7999999999999999
140,0.8572404248168799,0.730347264429862,0.6818929289238078,0.16000000000000003,0.7999999999999999
