군구,년도,전입인구,전출인구,등록외국인,주민등록인구,출생아수,산부인과의원수,소아청소년과의원수,유치원수,유치원원아수,초등학교수,초등학교학생수,문화기반시설수
강남구,2017,90474,103367,4888,556164,3456,56,29,38,4156,33,24371,28
강남구,2018,91611,106802,5089,542364,2940,55,30,40,4026,33,24858,25
강남구,2019,95557,93716,5040,545169,2749,53,28,38,3641,33,25484,26
강남구,2020,95325,101582,4824,539231,2356,49,28,37,3260,33,25905,28
강남구,2021,94082,98106,4758,533042,2204,51,30,36,2938,33,25829,27
송파구,2013,99953,108855,6540,668415,5963,24,41,51,5822,37,33307,14
송파구,2014,99723,107490,7056,664738,6001,25,42,53,6063,38,33028,14
송파구,2015,101994,111346,7178,660302,5899,21,43,54,6027,38,32093,18
송파구,2016,105735,112735,7115,657831,5500,21,43,54,6073,39,31048,19
송파구,2017,110872,107154,6677,664496,4976,23,46,56,6261,39,31191,20
송파구,2018,101060,101486,6872,666635,4567,25,45,56,6074,39,31368,20
송파구,2019,123273,116301,6780,675961,4424,24,47,51,5348,40,32208,21
송파구,2020,106928,116457,5966,667960,3791,24,45,50,5355,40,31373,21
송파구,2021,105181,113651,5627,658338,3469,25,40,49,5073,40,31235,20
강동구,2013,68569,75508,4590,483379,4070,20,28,39,4859,26,22736,9
강동구,2014,66412,75575,4735,476597,4089,20,29,39,4807,26,22170,9
강동구,2015,73720,94194,4663,458658,3865,21,24,37,4698,26,21620,9
강동구,2016,67962,84535,4303,444168,3293,19,25,35,4476,26,20448,9
강동구,2017,81615,90819,4136,436223,2968,18,23,35,4506,27,20161,10
강동구,2018,59334,68933,4347,427573,2659,17,24,35,4309,27,19831,12
강동구,2019,75101,67292,4323,436067,2437,17,26,32,3746,27,19622,12
강동구,2020,101437,78271,4028,459970,2535,17,25,35,4237,28,21353,13
강동구,2021,77883,74444,3808,462664,2810,19,27,36,4205,29,22092,13
