"행정구역(시군구)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"남구",71889,71464,70960,71203,71808,74115,74859,74990,77480,78872,81316,82854,83255,83402,85996,87473,87879,88605,89574,92233,93295,95722,95868
"북구",149483,150761,151881,153072,153971,156593,162988,166876,171341,171900,174151,168485,170004,173165,176440,178735,178956,180682,184617,187015,191997,195695,198085
"광산구",78511,82724,87236,92486,96238,101188,104379,106811,109390,118255,127578,133302,137331,141449,144796,148252,151034,153527,156713,160569,165888,169125,170776
"대전광역시",439312,450489,463270,479916,492068,505650,518039,525880,531682,538100,555768,566324,575600,584877,592508,597008,606137,614639,624965,635343,652783,664417,673429
"동구",84380,83508,83132,85466,86315,87089,89385,92949,94402,95415,98977,100745,101687,102263,101512,100635,100398,100677,102632,104064,105729,107832,108640
"중구",86291,87719,88287,91695,92459,95008,95790,97389,97719,98373,100983,101819,102201,103705,103669,103285,103681,104509,105270,106379,107626,107609,107692
"서구",146097,151368,157520,162624,168049,170967,172661,173262,174265,176293,179550,181948,183229,186185,187921,189068,192834,196016,199689,203754,209931,213592,216539
"유성구",50576,55412,61488,65934,70752,78220,86092,88324,91153,93906,100821,106053,111553,115304,121857,126969,132464,137514,141533,145305,151292,155450,160305
"대덕구",71968,72482,72843,74197,74493,74366,74111,73956,74143,74113,75437,75759,76930,77420,77549,77051,76760,75923,75841,75841,78205,79934,80253
"울산광역시",322838,331502,338845,348058,356143,365197,373114,380865,389735,394364,405501,412561,422177,431595,442250,451688,455352,458547,461756,468659,476893,482650,486143
"중구",73391,74577,76287,77549,79104,81017,82140,83638,83837,83672,86214,86822,87944,89595,92545,95710,95673,95386,94102,93062,93212,93633,93055
"남구",103884,108144,111043,113311,114699,116954,118686,119429,121258,122451,124993,125766,128366,130945,132974,133669,134140,134372,134986,135311,137925,138512,139525
"동구",55437,55709,56598,57624,58354,59295,61287,61180,60581,60337,60471,61946,64656,67059,67951,68359,68548,66888,65791,65183,65815,66201,66282
"북구",36271,37005,37854,40607,43759,46673,47875,50573,54269,56158,58673,60882,62175,63554,65589,67469,69693,72416,75403,81144,83781,85815,87153
"울주군",53855,56067,57063,58967,60227,61258,63126,66045,69790,71746,75150,77145,79036,80442,83191,86481,87298,89485,91474,93959,96160,98489,100128
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,46592,50045,62807,81806,94343,109490,123762,135408,144275,153649,159386
"세종시",-,-,-,-,-,-,-,-,-,-,-,-,46592,50045,62807,81806,94343,109490,123762,135408,144275,153649,159386
"경기도",3052102,3191089,3394937,3592144,3748325,3910886,4068786,4183926,4284475,4359467,4527282,4579405,4639665,4712324,4786718,4885012,5003406,5131379,5306214,5468920,5676401,5841995,5913694
"수원시",310856,322621,345411,359103,365667,377823,395615,399898,402462,406565,412253,416036,427790,439996,454072,463154,472194,483558,492939,498836,506950,517822,528482
"장안구",101182,106080,115942,98278,98581,100085,104648,104960,105052,108897,111056,109762,109983,113369,114386,115182,115507,116486,116250,115180,115738,118432,118811
"권선구",103104,106730,109720,95852,98024,103920,110286,114269,114960,113803,116450,122511,126934,127545,131321,136299,140772,145514,152432,152733,154921,157041,161085
"팔달구",106570,109811,119749,81615,85212,86829,89194,89668,88646,90981,91067,88044,87214,87289,87728,87266,88317,87895,84558,84282,86362,91278,95950
"영통구",-,-,-,83358,83850,86989,91487,91001,93804,92884,93680,95719,103659,111793,120637,124407,127598,133663,139699,146641,149929,151071,152636
"성남시",308168,316818,329107,348934,364388,374223,374006,370531,367675,375386,385050,384230,384316,387053,388340,390968,394087,396403,398412,400460,407912,409320,408195
"수정구",89956,92331,96698,101133,104592,106553,107659,107493,105403,103663,105253,103707,102949,101505,100362,99425,104855,107823,108396,110333,115709,114620,113458
"중원구",93449,95382,98040,101860,103035,104062,104200,103998,105101,103371,104438,103566,103869,105339,104931,105314,101345,99438,99495,99940,101151,100328,100139
"분당구",124763,129105,134369,145941,156761,163608,162147,159040,157171,168352,175359,176957,177498,180209,183047,186229,187887,189142,190521,190187,191052,194372,194598
"의정부시",117697,120760,128286,137206,139638,144001,149577,156057,161573,162344,166333,166397,166349,167990,169671,172392,175948,179505,185319,190760,201630,205792,208352
"안양시",190689,195066,198632,205981,214414,220167,225077,226595,226600,226022,229848,226420,224395,224441,223249,223779,225163,223172,222361,222589,220552,224620,227475
"만안구",86408,88979,92581,94202,95531,98289,100615,100970,100675,100908,103642,102113,98459,97830,97200,97701,100104,101859,102157,100974,101305,103012,102550
"동안구",104281,106087,106051,111779,118883,121878,124462,125625,125925,125114,126206,124307,125936,126611,126049,126078,125059,121313,120204,121615,119247,121608,124925
"부천시",255598,259495,275000,290377,297934,302996,310807,316479,320321,322246,328766,328229,328511,328230,327462,327617,331797,335384,338759,340160,344495,347024,344135
"원미구",127465,128449,141376,150524,154164,156297,159700,161983,162793,165203,167791,167061,167966,168075,168613,169862,-,-,-,-,-,-,-
"소사구",65711,67266,68558,73569,77222,79277,82004,83084,85103,85184,86967,87891,87771,87818,87108,86289,-,-,-,-,-,-,-
"오정구",62422,63780,65066,66284,66548,67422,69103,71412,72425,71859,74008,73277,72774,72337,71741,71466,-,-,-,-,-,-,-
"광명시",109927,110685,116021,118474,118163,118614,114670,115216,115295,116989,128649,131770,131172,130401,129039,128208,127461,127168,128126,126001,120560,119817,118493
"평택시",118218,120076,122294,128349,133244,141108,148995,153560,157018,158628,165745,169071,172891,177174,181801,189122,195970,204252,214409,226020,243838,262097,271362
"송탄출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"안중출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"동두천시",25599,25884,26172,27495,29520,31261,32919,34671,36727,37832,39915,40202,40886,41327,41603,42094,42455,42420,42919,42999,43874,44369,43973
"안산시",195972,205712,223529,236313,244608,253174,264603,269534,273025,273075,280919,281655,282006,283650,283527,281865,280524,278240,276662,277331,286061,292113,291091
"상록구",-,-,118997,124899,127874,132156,138956,141644,144123,143973,148428,149472,150088,151579,152242,152730,152682,152176,149499,147231,153103,156527,156033
"단원구",-,-,104532,111414,116734,121018,125647,127890,128902,129102,132491,132183,131918,132071,131285,129135,127842,126064,127163,130100,132958,135586,135058
"고양시",261972,269400,284357,302237,315193,328375,337745,346029,353322,353270,360212,362719,365492,374396,382046,393093,401772,408816,417607,434028,448574,456852,461459
"덕양구",124966,127425,133128,138651,142726,146979,146896,146689,150948,151548,154770,153342,154549,159948,166253,174272,178039,181875,185883,195766,203939,210486,216683
"일산구",137006,141975,151229,163586,172467,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"일산동구",-,-,-,-,-,83335,90376,97464,100066,100678,104091,106924,108231,109634,110182,111620,115258,117436,120658,122981,126569,128436,128567
"일산서구",-,-,-,-,-,98061,100473,101876,102308,101044,101351,102453,102712,104814,105611,107201,108475,109505,111066,115281,118066,117930,116209
"과천시",24467,24398,24537,25008,24528,21681,21993,22669,25296,26203,26194,25832,25413,25233,25251,25030,23454,20903,21205,21467,23373,27262,28726
"구리시",55933,61002,65202,66653,68001,69180,71001,72940,73443,73642,75163,74473,73415,72581,71639,71602,74499,77306,79735,79870,81520,80616,80424
"남양주시",117168,122822,131177,138998,147141,161475,171048,180946,187465,195218,211344,216005,223097,230273,238111,246353,251335,255594,264488,276656,285334,299156,304288
"풍양출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"오산시",35074,37963,38886,40869,42817,47265,50873,55488,58408,62410,70714,74807,77951,79951,81146,81033,82581,85445,89860,95209,99436,102161,103552
"시흥시",103224,112000,122082,131499,138009,143602,147279,148832,151396,154703,158958,157772,157203,156764,156293,157755,159978,167802,181061,194750,211150,220421,223534
"군포시",86970,87485,89706,93689,95845,98061,99017,99931,101330,100740,105727,105160,104809,104735,106280,106771,106646,106645,107548,110005,112476,113205,113878
"의왕시",38710,39563,43612,49553,51099,52381,50502,49767,49591,51636,54050,54693,56482,58475,58413,58505,58808,59201,58946,62387,64690,65734,64839
"하남시",41823,42360,45521,47551,48817,50859,52006,52943,55440,58078,59657,58554,57641,57532,59551,66797,84289,93741,105832,115792,128774,138764,140415
"용인시",130599,150505,178287,199847,226043,249939,283819,297692,302454,307258,319465,324587,331035,340748,348064,354267,363559,371685,390137,406880,420519,429492,432151
"처인구",-,-,-,-,-,72470,75614,78127,78966,78782,81046,81144,81936,83494,86211,87905,91450,94596,103300,107544,111684,115048,115654
"기흥구",-,-,-,-,-,82432,106229,113480,117914,124976,130466,133762,135770,141613,144565,147312,150943,152765,158468,164904,169979,173844,174294
"수지구",-,-,-,-,-,95037,101976,106085,105574,103500,107953,109681,113329,115641,117288,119050,121166,124324,128369,134432,138856,140600,142203
"파주시",64330,76063,82207,85658,90465,100278,115130,120152,124351,130118,145561,155446,160813,163648,166901,171753,175089,180250,188407,191668,200270,211916,218264
"이천시",60341,62016,63307,65661,66481,69206,71776,73344,74534,75278,78221,78979,79312,79956,80433,81228,84339,87116,89596,92643,96799,101417,102618
"안성시",44959,47590,50826,53556,56164,58586,61023,64073,67114,68097,71739,72728,73041,73938,74259,74265,76291,77456,79805,81599,85839,89118,89951
"김포시",53749,59508,64816,71036,73758,74942,76657,77197,82978,85694,91581,99125,110104,119228,129379,133231,139498,152052,166635,174613,193234,200846,202189
"화성시",-,72098,78943,86289,101075,111517,118652,141619,169427,184790,189660,193152,196078,198368,204362,226316,245921,269782,301025,327797,351924,372888,387820
"화성시동부출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"화성시동탄출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
"광주시",-,51757,60469,67854,74568,79288,83112,86616,89308,91154,96584,102687,107406,112358,117808,124114,131303,140112,150055,156884,164320,167673,170497
"양주시",-,-,-,51607,54430,58570,63652,68423,68979,69725,75924,77578,77539,77283,78499,80109,80790,85089,89088,93026,97998,102314,106361
"포천시",-,-,-,55130,56432,59793,61555,62880,65084,65488,66934,66527,66627,66830,67275,67913,68354,68779,69429,69976,71315,73584,73438
"여주시",-,-,-,-,-,-,-,-,-,-,-,-,-,45431,46302,47117,47889,48892,49542,50334,51748,52731,53946
"양주군",38467,44839,48284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"여주군",34024,35095,35807,36587,37283,38060,39344,40922,41957,43054,44283,44575,45104,-,-,-,-,-,-,-,-,-,-
"화성군",64905,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"광주군",46859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연천군",17941,17971,17974,18348,18566,18377,18461,18795,19255,19461,19848,19826,20293,20528,20722,21381,21656,21585,21526,21630,22028,22002,21858
"포천군",49373,50239,53997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가평군",19515,19678,19917,20378,20836,21443,22000,22782,23825,24401,25556,26109,26989,27417,27966,28551,29212,29840,30359,30768,31533,31775,32140
"양평군",28975,29620,30571,31904,33198,34641,35872,37345,38822,39962,42429,44061,45505,46389,47254,48629,50544,53186,54422,55782,57675,59094,59788
"강원도",521728,531123,538613,552319,563355,574019,583890,594360,606950,617693,639001,648649,655301,664913,673978,685005,692254,700265,707245,719524,736301,746220,755481
"춘천시",83844,84886,86815,89901,92873,94957,96802,98900,101758,104022,108140,110075,110596,111313,113095,115044,117014,118450,120190,123006,126685,130277,133668
"원주시",88050,90841,93396,97162,100691,104779,110023,113465,116514,119306,123983,128436,130617,132207,134487,138380,142136,145521,149166,154583,160307,164895,168755
