년도,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,도매 및 소매업 신생,예금은행대출금액,예금액,외국인
2016,충청남도,2096727,271446,17302,46,115309,7956,33828.8,21020.7,77533
2016,전라남도,1903914,237337,13980,22,92981,7205,20060.0,30487.5,36630
2016,울산광역시,1172304,155812,10910,32,65629,3813,25364.2,16080.5,28792
2016,충청북도,1591625,197668,12742,47,84052,6105,22070.0,22611.6,44901
2016,대전광역시,1514370,229883,12436,47,85939,6406,29590.8,28605.4,19687
2016,강원도,1550806,221592,10058,29,76772,5631,16415.4,17522.2,19364
2016,제주특별자치도,641597,92193,5494,21,38272,2886,12548.2,5708.1,17476
2016,세종특별자치시,243048,35236,3297,4,17910,838,6747.6,184606.3,4835
2017,경기도,12873895,1772162,94088,269,733941,52606,326152.3,23775.3,497089
2017,서울특별시,9857426,1571423,65389,388,428333,44574,569688.0,664687.0,343927
2017,경상남도,3380404,409200,23849,64,186619,12473,74494.8,9896.2,91072
2017,부산광역시,3470653,467471,21480,65,150863,13900,106819.1,81765.8,48808
2017,대구광역시,2475231,333118,15946,86,124708,10226,71095.8,48356.4,31365
2017,인천광역시,2948542,411135,20445,62,156470,11563,80147.3,43007.6,79170
2017,전라북도,1854607,239253,11348,50,97383,7109,28323.0,20753.7,33764
2017,경상북도,2691706,316642,17957,55,127642,9951,39225.6,43283.8,63978
2017,광주광역시,1463770,216256,10120,38,88189,6076,31038.5,24235.1,26052
2017,충청남도,2116770,269337,15670,43,116963,8190,35278.9,22690.2,84752
2017,전라남도,1896424,230551,12354,21,93233,7308,21010.3,30995.6,37212
2017,울산광역시,1165132,147116,9381,32,66016,4001,26949.2,15899.4,26601
2017,충청북도,1594432,194915,11394,45,84240,6107,23178.8,23823.3,48237
2017,대전광역시,1502227,227624,10851,46,84240,6256,31050.7,30601.9,20534
2017,강원도,1550142,209618,8958,30,75722,5690,17587.6,18707.2,20996
2017,제주특별자치도,657083,91022,5037,21,38901,2831,14707.9,7735.5,20400
2017,세종특별자치시,280100,47383,3504,4,20764,988,7585.8,195344.5,5290
2018,경기도,13077153,1871621,88175,268,752499,49364,350553.6,23680.4,558197
2018,서울특별시,9765623,1549937,58074,394,424800,41812,607389.3,728762.8,374425
2018,경상남도,3373988,395524,21224,59,191016,11003,76526.6,9305.7,97494
2018,부산광역시,3441453,442854,19152,65,152775,12472,113616.7,80983.6,55506
2018,대구광역시,2461769,335400,14400,87,125160,9007,74462.0,48437.4,35280
2018,인천광역시,2954642,433706,20087,59,158871,11223,85660.7,44338.0,88489
2018,전라북도,1836832,257097,10001,50,97606,6490,29107.6,22167.1,39131
2018,경상북도,2676831,318671,16079,54,129290,8567,40939.9,43841.2,74071
2018,광주광역시,1459336,225108,9105,37,88622,5652,33475.5,24104.4,29833
2018,충청남도,2126282,282221,14380,42,120152,7340,36232.6,27566.9,95838
2018,전라남도,1882970,232414,11238,19,94134,6157,22228.8,32334.2,42520
2018,울산광역시,1155623,140576,8149,32,67290,3491,27620.7,15886.4,27162
2018,충청북도,1599252,213737,10586,41,85344,5479,25028.7,24605.0,54835
2018,대전광역시,1489936,227632,9337,45,83453,5677,33252.0,30908.9,22858
2018,강원도,1543052,220252,8351,31,75412,4866,19200.5,19412.9,24149
2018,제주특별자치도,667191,95349,4781,22,40096,2744,16633.8,11864.7,25287
2018,세종특별자치시,314126,55000,3703,6,24865,962,8351.6,206787.8,6486
2019,경기도,13239666,1806296,83198,264,769744,52700,376464.3,25501.3,594795
2019,서울특별시,9729107,1476081,53673,391,422293,42897,641634.1,791160.6,390177
2019,경상남도,3362553,405561,19250,58,194606,11406,78235.3,9847.4,105908
2019,부산광역시,3413841,435058,17049,67,155589,13569,120127.2,90142.9,60502
2019,대구광역시,2438031,336092,13233,91,126122,9712,80062.2,52113.4,40092
2019,인천광역시,2957026,422351,18522,59,160853,11826,92157.9,46757.3,100174
2019,전라북도,1818917,241523,8971,50,97731,6946,30488.3,23693.8,43960
2019,경상북도,2665836,311082,14472,54,131374,9159,43118.9,47388.8,81840
2019,광주광역시,1456468,221005,8364,35,88990,5575,36888.6,25261.5,33286
2019,충청남도,2123709,259584,13228,42,122424,7776,37360.9,36495.5,104018
2019,전라남도,1868745,233271,10832,19,94952,6796,23785.6,34777.2,47778
2019,울산광역시,1148019,152228,7539,33,68512,3486,28495.1,16646.3,28604
2019,충청북도,1600007,208831,9333,40,86709,5918,26399.9,25555.5,59783
2019,대전광역시,1474870,228766,8410,46,82743,5833,35318.1,33905.4,25147
2019,강원도,1541502,215965,8283,32,75617,5238,20991.4,21582.6,27008
2019,제주특별자치도,670989,92030,4500,23,41068,2758,18281.1,11646.8,28017
2019,세종특별자치시,340575,58674,3819,7,27892,1080,8803.9,223043.4,7829
2020,경기도,13427014,1984199,77737,265,761731,63145,419831.8,24939.5,583462
2020,서울특별시,9668465,1642977,47445,385,409536,49581,726164.1,898371.8,366454
2020,경상남도,3340216,419997,16823,59,190849,12160,82937.6,10308.9,96669
2020,부산광역시,3391946,506176,15058,67,153527,14454,132190.5,101058.8,54914
2020,대구광역시,2418346,364083,11193,87,122587,9605,88740.3,57156.5,37398
2020,인천광역시,2942828,460304,16040,60,156928,13214,102078.5,51948.8,99212
2020,전라북도,1804104,257577,8165,48,94661,6953,33132.0,25070.1,42366
2020,경상북도,2639422,334679,12873,53,129079,9471,47189.5,51352.9,74547
2020,광주광역시,1450062,232246,7318,36,86419,5810,42161.3,28573.7,30573
2020,충청남도,2121029,286386,11950,43,120115,8409,41097.0,38260.0,99166
2020,전라남도,1851549,248770,9738,18,92405,6948,26806.6,36756.8,45236
2020,울산광역시,1136017,149696,6617,34,67397,3754,30498.2,18231.6,26895
2020,충청북도,1600837,226441,8607,40,85135,6103,28669.1,27669.5,57094
2020,대전광역시,1463882,243418,7481,44,79807,6405,39341.3,38725.4,22928
2020,강원도,1542840,217897,7835,32,73478,5554,22831.4,23634.2,24654
2020,제주특별자치도,674635,94736,3989,23,40575,2856,20182.3,14025.4,26831
2020,세종특별자치시,355831,65909,3468,7,29487,1361,9864.7,251734.3,7244
