시점,시도,총인구,전출인구,출생아수,산부인과의원수,초등학생인원수,도매 및 소매업 신생,예금은행대출금액,예금액,cluster
2019,부산광역시,0.24740491463984474,0.21327059707783796,0.14181734054669703,0.16539440203562344,0.1947134611501415,0.20955372375197306,0.16262596115981678,0.09897538591782998,0.75
2019,경상남도,0.24355008293585326,0.19829058092824603,0.16140197892938496,0.1424936386768448,0.24587296467336434,0.1750665667501076,0.10474303439794952,0.009460866083121175,0.75
2019,인천광역시,0.2130704710105577,0.20681736233488565,0.15492418849658313,0.14503816793893132,0.20161567368688815,0.18176310209027566,0.123980186117847,0.0506085266076477,0.75
2019,경상북도,0.1911844851291569,0.1503095338455835,0.11888703018223236,0.13231552162849874,0.1629624967547538,0.13924010268020853,0.0562219596951923,0.05131253143077749,0.75
2019,대구광역시,0.17406254751552833,0.1630108324149734,0.1078623291571754,0.22646310432569977,0.15607601874506657,0.14805720754476312,0.1072673008767021,0.056579580025170266,0.75
2019,충청남도,0.1504379489571518,0.12415633617559381,0.10781783883826879,0.10178117048346057,0.1512271619895785,0.1171893684529409,0.048266008967370655,0.03916853184281262,0.0
2019,전라남도,0.1312747273346185,0.11079331061556354,0.08649807801822323,0.043256997455470736,0.11520558470813763,0.10156411932588211,0.02950872902374488,0.037252947539433465,0.0
2019,전라북도,0.12752962996005743,0.11498407894001798,0.06993878132118451,0.12213740458015267,0.11884943893298927,0.10395573909022783,0.0387699917787588,0.024897021875653905,0.0
2019,충청북도,0.11107624499045875,0.09838148586402856,0.07315988041002278,0.09669211195928754,0.10439727582888177,0.08756517163857842,0.03312096278333921,0.02697247045715944,0.0
2019,강원도,0.10667897996078275,0.1020044792264447,0.06381691343963554,0.07633587786259542,0.08985332798359413,0.0767231620402111,0.025647923618451505,0.02254342728722694,0.0
2019,대전광역시,0.10167088555077726,0.10850545175690293,0.06494696753986333,0.11195928753180662,0.09919701463573259,0.0862099204387825,0.045443428879355006,0.0362810529950082,0.0
2019,광주광역시,0.10028778203695626,0.10456403719484635,0.06453765660592255,0.08396946564885496,0.10738814718076611,0.08209633444410784,0.04761342203983502,0.026644715242590697,0.0
2019,울산광역시,0.07710460109278856,0.06963572005342569,0.05719675398633257,0.07888040712468193,0.08053717675380972,0.04878904319265294,0.03601594506276468,0.01704037264207157,0.0
2019,제주특별자치도,0.041250787963887786,0.039064237795123635,0.030155538154897493,0.0534351145038168,0.04455231336884092,0.037181715269694986,0.02190304462268648,0.011466861773920473,0.0
2019,세종특별자치시,0.016416706645789085,0.022124433113773365,0.024095956719817763,0.01272264631043257,0.027275802657561618,0.010427462172547391,0.00880819637021838,0.24713467807358863,1.0
2018,경기도,0.9737042724459879,0.9428273974272379,0.7747010250569475,0.6768447837150128,0.9773881734049779,0.7802739201836764,0.4810110054094385,0.024882083372676965,0.25
2018,서울특별시,0.724808023172884,0.7794605630011833,0.5068604071753986,0.9974554707379134,0.5477057748336729,0.6598638371147498,0.8358863396132563,0.8109175707898311,0.5
2018,부산광역시,0.24948024635507274,0.21722978634800846,0.16052996867881547,0.1603053435114504,0.19102371455469977,0.1920630112087246,0.15363026522138626,0.0887644732076277,0.75
2018,경상남도,0.24440954324889222,0.19319330248998268,0.17896675683371296,0.14503816793893132,0.24116571866141134,0.16864108164989872,0.10238208736623212,0.008856971526209996,0.75
2018,인천광역시,0.21289128837948773,0.21258398549583815,0.16884965831435078,0.14503816793893132,0.19901685430090185,0.1721487906376058,0.11500286707151097,0.04791145793211655,0.75
2018,경상북도,0.19201087482236753,0.15416359841348032,0.13318621867881547,0.13231552162849874,0.16022993388876214,0.12980117667692403,0.053211189178359486,0.04735761850831467,0.75
2018,대구광역시,0.17584670745526765,0.16265940104312143,0.11824636958997721,0.2162849872773537,0.15481463415913377,0.1368165946523382,0.09952938575583604,0.052481525029406006,0.75
2018,충청남도,0.15063133692264802,0.13565250953486127,0.1180684083143508,0.10178117048346057,0.14824809153298873,0.11023772700457596,0.04670701292600192,0.02921480664281783,0.0
2018,전라남도,0.13234388544156905,0.1103580841911746,0.09011069191343964,0.043256997455470736,0.11413301444691826,0.09137581912976929,0.027357665443843392,0.03452945778027893,0.0
2018,전라북도,0.12887613031056844,0.12289331620190037,0.07910378701594534,0.12213740458015267,0.1186855376094533,0.09668521500661681,0.036862249303957935,0.02319503586857194,0.0
2018,충청북도,0.11101949881325329,0.10087299209279413,0.08430915432801822,0.09923664122137404,0.10260747337586901,0.08056569779492657,0.031226346660034404,0.025912840078086006,0.0
2018,강원도,0.10679547873517806,0.10418162704599587,0.06442198177676538,0.07379134860050891,0.08958452981299514,0.07079194502463368,0.023173399103262934,0.020124616099982732,0.0
2018,대전광역시,0.1028032536378997,0.10792955121401257,0.07319547266514806,0.10941475826972011,0.10012797415341688,0.08372263588386294,0.042588654687143776,0.03294051387781353,0.0
2018,광주광역시,0.10050334234983739,0.10664774083459873,0.07113112186788155,0.089058524173028,0.10690562168427623,0.08332403258980532,0.04289746937760368,0.02535476436239515,0.0
2018,울산광역시,0.07767612153182209,0.06371826579790665,0.0626245728929385,0.07633587786259542,0.0789348774149221,0.048868763851464464,0.03480776803664325,0.016193225745640326,0.0
2018,제주특별자치도,0.04096532838636946,0.04074978797312464,0.03265589407744875,0.05089058524173028,0.04327781667702523,0.03695849742502272,0.019626935273269912,0.011709779669344042,0.0
2018,세종특별자치시,0.014428786591607382,0.020258596610617085,0.023063781321184508,0.010178117048346057,0.023306768206814626,0.008546054624595418,0.008183243866884978,0.2290127132234402,1.0
2017,경기도,0.958427299616283,0.892317263304369,0.8273152761958997,0.6793893129770993,0.9530547273075339,0.8319647953570687,0.44729521164514635,0.02498787918853606,0.25
