시도,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸
경기도,1329135,208051,187472,2784899.0,1.8,55041,9149,7309,25506,5508,4830,15564,1309,723,33317,7030,5368,21238,4842,3506,26164,4779,3058,319323,44855,55589,2964,759,669,14219,3060,2063,159788,36735,30457,133052,12041,11406,292716,51661,43247,72503,9510,6946,2299,220,154,582,264,17,154756,16319,12119,103,10,11
강원도,163887,22065,20822,2483529.0,1.9,8904,1112,1036,3647,673,631,1737,115,68,4018,684,630,2500,455,390,2497,376,218,24941,3264,4259,322,74,74,697,138,103,35987,6493,5702,12895,1050,915,39321,5432,5131,17568,1211,920,401,26,24,246,105,9,8041,845,697,165,12,15
충청북도,166442,26193,22041,2535148.0,0.9,8169,1237,1001,3463,758,651,1899,177,84,4068,846,548,2745,523,400,2503,372,240,27567,4686,5322,324,94,70,665,129,90,27841,6079,4820,17306,1511,1103,39796,6539,5467,15167,1339,921,451,32,23,483,237,11,13908,1628,1280,87,6,10
충청남도,207960,32520,28989,2841711.0,3.9,10508,1527,1259,3864,831,741,2470,204,124,4580,947,749,3464,811,582,3040,492,290,34108,5749,7133,338,65,54,794,172,127,35900,7692,6275,19208,1746,1410,51336,8001,7160,18732,1606,1281,521,47,31,605,306,19,18365,2309,1733,127,15,21
전라북도,178892,28371,22729,2462123.0,2.3,8977,1349,1036,3089,722,614,2529,181,109,5031,1075,763,2673,488,345,2879,440,217,24409,4340,4478,358,69,82,701,146,134,27118,5944,4845,20177,1261,1129,48099,7545,6570,16592,1518,1134,374,26,19,3246,1708,84,12549,1550,1159,91,9,11
전라남도,173284,25232,22117,2780187.0,2.1,8301,1247,990,2903,582,608,2044,138,90,3591,701,568,2074,415,302,2392,347,202,19398,3243,4057,264,53,53,573,107,89,30385,6202,5249,22006,1430,1181,45746,6799,6090,17971,1240,1027,474,52,35,1622,824,37,12874,1728,1433,666,124,106
경상북도,271397,39823,34020,2703967.0,3.3,13518,1896,1492,5153,1022,943,2854,189,112,6355,1341,972,4296,935,723,3655,466,296,35717,6252,6708,467,95,100,981,197,148,48211,9820,8034,28765,2029,1600,64515,9728,8401,24508,1832,1471,790,62,58,668,311,17,30749,3626,2914,195,22,31
경상남도,347170,54236,47184,2678468.0,2.5,16242,2426,1965,5891,1248,1165,3830,310,164,9524,2185,1725,5386,1192,835,6764,1284,645,52440,8695,10026,707,150,124,1182,210,175,61021,13055,11241,31329,2124,1743,79711,12751,11077,25462,2142,1571,819,86,69,482,228,15,46285,6140,4634,95,10,10
제주특별자치도,67685,10756,8947,2244777.0,1.2,3460,412,404,1519,256,257,809,80,34,1669,308,215,1608,342,198,1115,196,79,10064,1741,2002,116,19,13,364,67,53,14776,3376,2556,6877,440,356,16547,2581,2191,5929,612,341,102,11,14,114,75,4,2601,240,230,15,0,0
서울특별시,1251731,170463,138643,3261561.0,1.9,48711,6929,5614,24520,4851,4104,18683,1282,898,29850,5389,4307,25858,4558,3105,56881,8699,5534,322964,37462,28911,10890,1925,1325,39912,6856,4362,142098,26865,24441,78517,7894,6443,319748,44599,39416,57516,6032,4313,506,37,25,261,60,14,74768,7019,5826,48,6,5
