시점,병원,상급종합병원,종합병원,의원,시도별
2021,46,1,9,1112,대전
2021,33,1,8,618,울산
2021,1,0,2,198,세종
2021,277,5,62,7487,경기
2021,37,2,13,782,강원
2021,37,1,12,912,충북
2021,46,2,11,1094,충남
2021,64,2,11,1179,전북
2021,74,1,24,962,전남
2021,55,0,20,1279,경북
2021,134,3,23,1682,경남
2021,7,0,6,463,제주
2022,225,14,42,9359,서울
2022,136,3,25,2526,부산
2022,89,5,13,1908,대구
2022,59,3,17,1692,인천
2022,85,2,22,1001,광주
2022,47,1,9,1125,대전
2022,33,1,8,621,울산
2022,1,0,2,209,세종
2022,271,5,67,7692,경기
2022,36,2,13,791,강원
2022,37,1,12,908,충북
2022,44,2,11,1091,충남
2022,62,2,12,1190,전북
2022,73,1,25,958,전남
2022,56,0,20,1296,경북
2022,132,3,23,1703,경남
2022,7,0,6,471,제주
