"지역별(1)","시점",합계,응급,응급,응급,응급,응급,응급,응급,응급,응급,응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,미상/미입력
"지역별(1)","시점",계,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계
"충북","2017",120014,68632,17350,975,1953,111,35,47879,244,85,-,51315,7571,235,507,182,72,42190,485,70,3,67
"충북","2018",124053,82594,21630,938,2766,119,53,56707,277,100,4,41459,6085,91,509,171,30,34097,347,56,73,-
"충북","2019",156992,104826,29134,1228,3906,133,37,69919,383,86,-,52166,7406,246,747,230,28,43087,313,49,60,-
"충북","2020",120027,84138,25606,791,3387,127,16,53529,583,96,3,35888,5175,154,666,195,21,29206,407,43,21,1
"충북","2021",128447,93422,27934,489,3690,146,38,60371,630,117,7,35025,5631,123,657,198,17,28060,286,27,26,-
"충남","2014",211267,160621,27156,1558,6173,185,141,108286,16646,348,128,49986,3739,129,586,61,71,38786,5822,73,719,660
"충남","2015",208899,173061,30382,1089,6700,189,137,133997,448,107,12,35695,2007,49,426,21,62,32577,201,25,327,143
"충남","2016",283273,203782,35941,1144,6384,195,316,159397,282,115,8,79473,6677,85,1141,97,48,71071,156,22,176,18
"충남","2017",269894,206057,40172,1125,6970,179,353,156929,240,85,4,63834,5857,48,760,80,17,56952,103,15,2,3
"충남","2018",277642,204832,42356,819,7164,132,388,153617,206,106,44,72804,7231,58,694,97,12,64610,75,24,3,6
"충남","2019",273457,198359,43509,623,7126,113,418,146314,183,62,11,75081,8399,72,639,98,14,65729,111,15,4,17
"충남","2020",209273,137818,35577,713,5639,89,188,95388,164,41,19,71447,9545,48,419,112,16,61166,96,28,17,8
"충남","2021",226212,152841,40309,834,5441,70,186,105844,94,54,9,73338,9176,47,400,90,16,63490,93,21,5,33
"전북","2014",153194,135674,26902,3900,5506,119,204,97582,912,508,41,17392,1950,67,188,21,26,15011,43,25,61,128
"전북","2015",158063,137962,29008,3355,5912,120,197,96882,1446,1029,13,20022,2379,95,241,11,29,17060,107,83,17,79
"전북","2016",215054,177229,36293,3219,7666,177,273,127659,824,1099,19,37824,3451,202,412,68,61,33117,439,67,7,1
"전북","2017",248885,218100,43982,3851,8109,218,470,160026,993,429,22,30282,2080,284,305,116,38,27336,68,50,5,503
"전북","2018",233274,204484,42091,3199,9260,197,453,148203,817,247,17,28775,2386,291,216,11,14,25767,74,15,1,15
"전북","2019",271530,191832,45345,2974,9153,160,399,132536,893,262,110,79502,9262,333,897,114,111,66718,387,101,1579,196
"전북","2020",232001,156043,42602,1932,8778,225,259,100186,1642,336,83,75947,8943,231,741,165,63,65355,295,104,50,11
"전북","2021",222777,152327,45022,1727,7656,222,263,95044,1544,812,37,70445,10055,202,663,175,44,58531,297,173,305,5
"전남","2014",102019,73952,12123,2390,2297,112,367,54904,1171,580,8,28050,2221,191,239,34,42,25002,226,91,4,17
"전남","2015",107244,81720,14323,2820,2283,116,346,61360,335,137,-,25524,1754,148,218,28,46,23205,58,65,2,-
"전남","2016",107974,84265,13940,2298,3157,122,288,64310,87,47,16,23412,1408,84,149,48,18,21608,26,66,5,297
"전남","2017",110773,91992,16572,2226,3795,193,408,68591,118,75,14,18145,1046,27,77,44,20,16850,27,51,3,636
"전남","2018",115365,95498,18289,2043,4123,166,424,70176,163,109,5,19867,1233,42,121,50,7,18309,30,73,2,-
"전남","2019",115038,97195,18937,1846,4129,194,419,71416,165,74,15,17843,1285,45,109,31,6,16257,27,70,13,-
