"행정구역별(1)","시간대별(1)","시점",공공의료시설,공공의료시설,병·의원,병·의원,종합병원,종합병원
"행정구역별(1)","시간대별(1)","시점",승용차,대중교통/도보,승용차,대중교통/도보,승용차,대중교통/도보
"광주광역시","낮시간(12-14시)","2020",9.17,18.24,2.21,4.83,5.76,12.66
"광주광역시","저녁첨두(18-20시)","2017",9.66,19.37,2.13,4.67,6.25,13.49
"광주광역시","저녁첨두(18-20시)","2018",9.75,17.76,2.30,4.76,6.39,12.67
"광주광역시","저녁첨두(18-20시)","2019",8.82,19.91,2.14,5.39,5.58,14.21
"광주광역시","저녁첨두(18-20시)","2020",9.30,17.86,2.27,4.78,5.81,12.56
"대전광역시","일평균(06-20시)","2017",7.81,17.09,2.16,4.57,8.55,18.87
"대전광역시","일평균(06-20시)","2018",8.89,16.40,2.12,4.49,9.26,17.34
"대전광역시","일평균(06-20시)","2019",7.57,18.24,1.98,4.63,7.79,18.94
"대전광역시","일평균(06-20시)","2020",7.90,16.47,2.14,4.57,8.15,17.17
"대전광역시","오전첨두(07-09시)","2017",7.64,17.22,2.11,4.54,8.29,18.96
"대전광역시","오전첨두(07-09시)","2018",8.69,16.47,2.06,4.49,9.02,17.34
"대전광역시","오전첨두(07-09시)","2019",7.18,17.31,1.91,4.57,7.44,18.09
"대전광역시","오전첨두(07-09시)","2020",7.92,16.61,2.13,4.59,8.28,17.17
"대전광역시","낮시간(12-14시)","2017",7.84,17.16,2.15,4.55,8.56,18.86
"대전광역시","낮시간(12-14시)","2018",8.88,16.45,2.12,4.52,9.21,17.60
"대전광역시","낮시간(12-14시)","2019",7.61,18.61,1.99,4.61,7.81,19.11
"대전광역시","낮시간(12-14시)","2020",8.00,16.84,2.17,4.64,8.21,17.63
"대전광역시","저녁첨두(18-20시)","2017",8.17,17.57,2.24,4.60,8.97,19.01
"대전광역시","저녁첨두(18-20시)","2018",9.37,16.99,2.19,4.54,9.61,17.88
"대전광역시","저녁첨두(18-20시)","2019",7.69,18.90,2.04,4.63,7.85,19.45
"대전광역시","저녁첨두(18-20시)","2020",7.90,16.88,2.21,4.61,8.24,17.82
"울산광역시","일평균(06-20시)","2017",9.42,20.44,2.68,6.63,9.75,20.68
"울산광역시","일평균(06-20시)","2018",9.34,17.23,2.62,6.17,9.76,17.60
"울산광역시","일평균(06-20시)","2019",9.03,22.31,2.54,8.11,9.26,22.42
"울산광역시","일평균(06-20시)","2020",9.36,17.15,2.76,6.29,8.78,16.92
"울산광역시","오전첨두(07-09시)","2017",9.06,20.42,2.60,6.72,9.41,20.70
"울산광역시","오전첨두(07-09시)","2018",9.15,17.75,2.54,6.24,9.60,17.91
"울산광역시","오전첨두(07-09시)","2019",8.54,20.77,2.43,7.22,8.91,20.97
"울산광역시","오전첨두(07-09시)","2020",9.29,17.54,2.72,6.34,8.74,17.33
"울산광역시","낮시간(12-14시)","2017",9.49,20.42,2.68,6.65,9.77,20.10
"울산광역시","낮시간(12-14시)","2018",9.35,17.23,2.62,6.21,9.79,17.75
"울산광역시","낮시간(12-14시)","2019",9.09,23.20,2.56,8.52,9.31,23.00
"울산광역시","낮시간(12-14시)","2020",9.52,17.91,2.79,6.35,8.97,17.35
"울산광역시","저녁첨두(18-20시)","2017",9.64,20.80,2.74,6.50,10.00,20.92
"울산광역시","저녁첨두(18-20시)","2018",9.40,17.94,2.67,6.47,9.88,18.12
"울산광역시","저녁첨두(18-20시)","2019",9.01,25.16,2.56,10.52,9.30,26.59
"울산광역시","저녁첨두(18-20시)","2020",9.37,18.13,2.81,6.65,8.78,17.78
"세종특별자치시","일평균(06-20시)","2017",6.97,18.46,3.46,10.81,28.85,50.84
"세종특별자치시","일평균(06-20시)","2018",6.75,16.91,3.26,9.01,26.97,43.84
"세종특별자치시","일평균(06-20시)","2019",6.90,18.91,3.28,9.94,13.22,29.41
"세종특별자치시","일평균(06-20시)","2020",8.22,17.06,3.54,8.68,12.02,22.84
"세종특별자치시","오전첨두(07-09시)","2017",6.87,18.61,3.40,10.34,28.46,49.88
"세종특별자치시","오전첨두(07-09시)","2018",6.46,16.40,3.14,8.88,26.92,45.20
"세종특별자치시","오전첨두(07-09시)","2019",6.66,18.21,3.19,9.54,12.46,27.13
"세종특별자치시","오전첨두(07-09시)","2020",8.16,16.81,3.51,8.96,11.93,22.94
"세종특별자치시","낮시간(12-14시)","2017",7.02,18.78,3.47,11.30,28.71,51.78
"세종특별자치시","낮시간(12-14시)","2018",6.79,17.18,3.27,9.14,26.91,43.36
"세종특별자치시","낮시간(12-14시)","2019",6.96,19.38,3.30,10.66,13.36,30.32
"세종특별자치시","낮시간(12-14시)","2020",8.33,17.49,3.58,9.06,12.10,23.42
"세종특별자치시","저녁첨두(18-20시)","2017",7.08,18.06,3.54,10.63,29.70,49.65
"세종특별자치시","저녁첨두(18-20시)","2018",6.92,17.30,3.34,9.32,27.40,44.19
"세종특별자치시","저녁첨두(18-20시)","2019",7.03,18.81,3.34,10.26,13.47,29.47
"세종특별자치시","저녁첨두(18-20시)","2020",8.29,17.47,3.60,9.15,12.27,23.49
"경기도","일평균(06-20시)","2017",8.83,18.53,2.82,6.92,12.85,25.06
"경기도","일평균(06-20시)","2018",8.52,19.17,2.78,6.82,12.39,25.46
"경기도","일평균(06-20시)","2019",8.59,19.72,2.72,7.50,12.41,26.18
"경기도","일평균(06-20시)","2020",8.70,17.06,2.90,6.48,12.22,22.04
"경기도","오전첨두(07-09시)","2017",8.67,18.34,2.78,6.76,12.60,24.73
"경기도","오전첨두(07-09시)","2018",8.49,19.17,2.74,6.78,12.41,25.44
"경기도","오전첨두(07-09시)","2019",8.06,18.78,2.60,7.14,11.75,24.84
"경기도","오전첨두(07-09시)","2020",8.76,17.24,2.89,6.51,12.41,22.24
"경기도","낮시간(12-14시)","2017",8.89,18.47,2.83,6.93,12.89,25.04
"경기도","낮시간(12-14시)","2018",8.49,19.31,2.78,6.97,12.31,25.70
"경기도","낮시간(12-14시)","2019",8.61,19.80,2.73,7.57,12.37,26.47
"경기도","낮시간(12-14시)","2020",8.76,17.50,2.93,6.68,12.25,22.62
"경기도","저녁첨두(18-20시)","2017",9.10,18.72,2.89,6.85,13.25,25.43
"경기도","저녁첨두(18-20시)","2018",8.78,19.72,2.87,6.99,12.82,26.16
"경기도","저녁첨두(18-20시)","2019",8.78,22.07,2.77,9.80,12.69,30.45
"경기도","저녁첨두(18-20시)","2020",8.92,17.72,2.98,6.78,12.49,22.78
"강원도","일평균(06-20시)","2017",7.08,23.45,5.36,19.89,19.62,47.44
"강원도","일평균(06-20시)","2018",7.28,23.76,5.50,20.68,20.53,46.78
"강원도","일평균(06-20시)","2019",7.26,33.10,5.44,24.69,20.28,54.32
"강원도","일평균(06-20시)","2020",7.88,24.67,5.81,19.60,20.75,46.67
"강원도","오전첨두(07-09시)","2017",6.91,22.50,5.28,18.81,19.20,45.98
"강원도","오전첨두(07-09시)","2018",7.15,23.32,5.43,20.20,20.28,45.93
"강원도","오전첨두(07-09시)","2019",6.92,27.09,5.30,20.99,19.39,50.65
"강원도","오전첨두(07-09시)","2020",7.80,24.42,5.77,18.98,20.54,44.99
"강원도","낮시간(12-14시)","2017",7.17,23.84,5.39,20.30,19.81,47.99
"강원도","낮시간(12-14시)","2018",7.31,24.22,5.52,21.47,20.63,47.68
"강원도","낮시간(12-14시)","2019",7.36,33.64,5.47,24.15,20.51,53.07
