"시점","시도별(1)",합계,의사,의사,의사,의사,의사,치과의사,한의사,한의사,한의사,한의사,한의사,간호사,약사,물리치료사,작업치료사,사회복지사
"시점","시도별(1)",소계,소계,일반의,인턴,레지던트,전문의,소계,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계
"2015","경기",70166,18105,756,377,1878,15094,4899,3716,3197,31,50,438,27717,7124,6475,1413,717
"2015","강원",10279,2519,202,62,308,1947,617,498,429,10,6,53,4805,904,764,89,83
"2015","충북",9238,2314,175,44,182,1913,533,570,478,4,18,70,3726,947,971,79,98
"2015","충남",11549,2915,274,59,225,2357,805,756,662,5,13,76,4424,1227,1150,130,142
"2015","전북",14246,3476,272,101,354,2749,843,886,714,12,31,129,5855,1306,1506,195,179
"2015","전남",14400,2946,341,5,105,2495,656,731,630,7,8,86,6988,1171,1610,119,179
"2015","경북",16019,3433,308,-,65,3060,835,944,868,4,6,66,7497,1417,1537,136,220
"2015","경남",21409,4914,409,92,308,4105,1227,1137,1031,6,17,83,9801,1808,1991,292,239
"2015","제주",4566,1021,69,20,66,866,220,197,183,-,-,14,2231,378,420,70,29
"2016","계",398223,97713,5061,2766,11604,78282,24150,19737,16850,244,341,2302,179989,33946,33345,5837,3506
"2016","서울",101142,28189,938,1168,5043,21040,6803,4648,3807,79,115,647,45291,8321,6390,1061,439
"2016","부산",32387,7637,372,227,842,6196,1683,1609,1394,22,38,155,15494,2448,2622,547,347
"2016","대구",21902,5495,159,214,772,4350,1238,1059,944,9,15,91,9920,1847,1744,412,187
"2016","인천",19308,4469,207,116,460,3686,1136,860,760,7,-,93,8822,1628,1840,361,192
"2016","광주",15161,3434,152,101,396,2785,969,701,545,17,16,123,7192,1083,1415,215,152
"2016","대전",13482,3455,161,121,442,2731,793,714,583,11,35,85,5788,1113,1244,266,109
"2016","울산",7915,1702,113,23,124,1442,485,406,352,6,4,44,3863,646,643,99,71
"2016","세종",671,180,16,-,-,164,74,69,62,-,-,7,139,113,86,1,9
"2016","경기",77429,18846,818,417,1898,15713,5037,3845,3292,34,43,476,33004,7392,6946,1603,756
"2016","강원",10721,2575,216,76,305,1978,622,499,436,6,6,51,5130,920,784,97,94
"2016","충북",9667,2389,177,45,169,1998,560,574,486,8,11,69,3943,971,1018,104,108
"2016","충남",12275,2995,265,53,241,2436,820,769,670,4,12,83,4956,1245,1194,154,142
"2016","전북",15147,3522,271,79,347,2825,871,899,733,18,17,131,6581,1335,1533,217,189
"2016","전남",15045,3042,372,21,103,2546,693,747,651,11,5,80,7436,1173,1649,118,187
"2016","경북",17160,3515,328,-,62,3125,846,954,878,2,6,68,8386,1458,1618,152,231
"2016","경남",24002,5221,433,90,336,4362,1277,1176,1062,10,18,86,11672,1866,2167,362,261
"2016","제주",4809,1047,63,15,64,905,243,208,195,-,-,13,2372,387,452,68,32
"2017","계",414196,100241,5246,2743,11211,81041,25300,20389,17333,233,359,2464,185853,36980,35587,6258,3588
"2017","서울",103941,28746,1014,1200,4834,21698,7118,4733,3837,74,134,688,46034,8924,6846,1087,453
"2017","부산",33393,7735,363,214,841,6317,1730,1627,1414,13,35,165,15962,2676,2755,573,335
"2017","대구",22450,5552,162,192,736,4462,1288,1090,973,5,16,96,10073,1976,1860,436,175
"2017","인천",20765,4684,207,116,461,3900,1211,914,797,8,-,109,9504,1813,2011,425,203
"2017","광주",15880,3497,155,94,379,2869,988,726,559,25,15,127,7559,1215,1493,246,156
"2017","대전",14064,3545,152,133,431,2829,814,727,582,12,36,97,6019,1222,1337,286,114
"2017","울산",8150,1729,103,27,116,1483,501,409,352,4,2,51,3961,704,671,102,73
"2017","세종",843,239,21,-,-,218,105,86,78,-,-,8,142,149,114,1,7
"2017","경기",81651,19642,871,396,1816,16559,5324,4072,3462,38,49,523,34371,8192,7575,1681,794
"2017","강원",11042,2629,217,68,331,2013,645,505,438,3,2,62,5289,967,815,107,85
"2017","충북",10074,2417,176,41,160,2040,592,589,501,9,11,68,4090,1060,1089,121,116
"2017","충남",12844,3089,293,55,242,2499,877,801,699,5,12,85,5100,1401,1244,176,156
"2017","전북",15647,3598,272,86,336,2904,899,910,748,15,22,125,6853,1409,1568,216,194
"2017","전남",15380,3089,373,27,108,2581,731,783,687,11,4,81,7551,1236,1676,129,185
"2017","경북",17851,3587,346,-,40,3201,904,979,904,1,4,70,8659,1582,1718,181,241
"2017","경남",25142,5351,449,71,323,4508,1312,1217,1098,10,17,92,12219,2030,2331,413,269
"2017","제주",5079,1112,72,23,57,960,261,221,204,-,-,17,2467,424,484,78,32
"2018","계",430795,102471,5557,2777,10990,83147,25792,20759,17570,290,354,2545,195314,37837,38015,6807,3800
"2018","서울",107232,29378,1124,1165,4737,22352,7175,4816,3872,107,119,718,47763,9106,7352,1139,503
"2018","부산",34495,7852,363,212,812,6465,1739,1655,1432,14,37,172,16696,2701,2912,579,361
"2018","대구",23401,5721,171,205,725,4620,1313,1103,979,10,14,100,10541,2027,2018,499,179
"2018","인천",22173,4893,239,125,444,4085,1250,945,819,13,-,113,10355,1856,2181,464,229
"2018","광주",16467,3547,160,88,362,2937,978,697,527,26,18,126,7990,1238,1564,280,173
"2018","대전",14586,3629,155,125,432,2917,841,728,583,14,38,93,6274,1247,1433,321,113
"2018","울산",8218,1726,106,27,109,1484,502,404,352,5,-,47,4003,701,692,111,79
"2018","세종",973,270,23,-,-,247,111,99,88,-,-,11,171,167,146,2,7
"2018","경기",86060,20355,896,434,1802,17223,5549,4226,3597,38,52,539,36593,8487,8203,1791,856
"2018","강원",11373,2661,223,69,318,2051,649,508,433,10,-,65,5509,987,856,119,84
"2018","충북",10654,2472,194,41,149,2088,611,618,514,9,15,80,4382,1093,1194,164,120
"2018","충남",13168,3114,326,51,236,2501,893,810,708,8,9,85,5284,1409,1320,183,155
"2018","전북",16297,3619,303,90,331,2895,909,928,757,16,22,133,7329,1411,1653,261,187
"2018","전남",16040,3086,407,43,103,2533,744,801,703,6,9,83,8051,1281,1740,140,197
"2018","경북",18267,3619,376,-,39,3204,917,985,912,3,5,65,8921,1598,1785,202,240
"2018","경남",26074,5392,422,86,323,4561,1338,1213,1088,11,16,98,12862,2076,2440,474,279
"2018","제주",5317,1137,69,16,68,984,273,223,206,-,-,17,2590,452,526,78,38
"2019","계",460995,105628,5870,2863,10773,86122,26486,21630,18219,285,399,2727,215293,38941,41457,7465,4095
"2019","서울",114861,30359,1187,1165,4648,23359,7308,5018,4031,72,147,768,52727,9385,8240,1269,555
"2019","부산",37028,8008,365,194,780,6669,1757,1691,1459,14,35,183,18514,2795,3237,636,390
"2019","대구",26087,5908,167,214,714,4813,1330,1146,1017,11,16,102,12557,2083,2274,576,213
"2019","인천",24081,5071,246,134,441,4250,1298,997,857,11,-,129,11639,1915,2415,508,238
"2019","광주",17835,3658,153,105,355,3045,1009,723,543,33,18,129,8949,1276,1734,309,177
"2019","대전",15746,3726,172,139,425,2990,852,741,587,15,41,98,7153,1262,1542,337,133
"2019","울산",8950,1754,105,18,103,1528,504,410,354,8,-,48,4612,724,731,133,82
"2019","세종",1109,302,26,-,-,276,121,103,87,-,-,16,220,180,175,2,6
"2019","경기",91723,21210,971,433,1782,18024,5788,4512,3831,41,55,585,39694,8797,8915,1869,938
"2019","강원",12115,2719,226,88,299,2106,669,528,457,7,3,61,6043,1005,915,140,96
"2019","충북",11258,2529,222,47,141,2119,634,639,525,13,18,83,4767,1110,1261,189,129
"2019","충남",14122,3198,342,58,231,2567,924,836,710,9,15,102,5940,1444,1410,204,166
"2019","전북",16821,3689,306,91,318,2974,917,934,758,19,21,136,7652,1427,1730,287,185
"2019","전남",16775,3128,432,50,93,2553,767,830,723,8,9,90,8539,1304,1829,165,213
"2019","경북",19165,3662,409,10,45,3198,957,1027,943,8,4,72,9577,1625,1836,231,250
"2019","경남",27744,5532,467,104,323,4638,1370,1257,1119,15,17,106,13972,2132,2669,524,288
"2019","제주",5575,1175,74,13,75,1013,281,238,218,1,-,19,2738,477,544,86,36
"2020","계",478086,107976,6030,3021,10048,88877,26978,22038,18507,287,429,2815,225462,39765,43735,7996,4136
"2020","서울",118497,31140,1227,1283,4340,24290,7368,5073,4053,82,148,790,54778,9516,8762,1322,538
"2020","부산",37898,8102,369,210,688,6835,1783,1725,1481,14,37,193,18961,2835,3444,661,387
"2020","대구",26608,6013,173,210,677,4953,1338,1172,1038,11,16,107,12683,2139,2407,632,224
"2020","인천",24983,5130,241,135,405,4349,1322,1034,895,7,5,127,12176,1963,2570,543,245
"2020","광주",18117,3676,153,101,333,3089,1030,718,534,33,16,135,9112,1307,1779,316,179
"2020","대전",16095,3680,178,122,399,2981,866,756,603,12,43,98,7457,1283,1565,353,135
"2020","울산",9205,1762,103,26,90,1543,511,415,354,14,-,47,4808,739,749,136,85
"2020","세종",1899,441,33,-,-,408,127,119,97,-,-,22,754,227,212,10,9
"2020","경기",98513,22173,1014,451,1708,19000,5983,4674,3960,32,62,620,43922,9037,9717,2058,949
"2020","강원",12525,2793,235,88,287,2183,695,543,471,6,8,58,6235,1050,962,145,102
"2020","충북",11446,2541,236,44,126,2135,662,629,520,7,17,85,4869,1118,1290,209,128
"2020","충남",14417,3244,350,58,211,2625,933,836,703,17,15,101,6112,1461,1440,216,175
"2020","전북",17277,3682,328,96,296,2962,929,941,767,11,27,136,7971,1480,1784,303,187
"2020","전남",16872,3140,444,42,90,2564,782,818,696,17,9,96,8556,1305,1867,189,215
"2020","경북",19271,3655,412,12,50,3181,958,1050,966,9,8,67,9693,1632,1815,227,241
"2020","경남",28757,5619,461,121,284,4753,1406,1291,1146,15,18,112,14576,2192,2794,584,295
"2020","제주",5706,1185,73,22,64,1026,285,244,223,-,-,21,2799,481,578,92,42
"2021","계",498552,109937,6050,2981,9853,91053,27491,22542,18909,302,402,2929,240307,40388,45385,8267,4235
"2021","서울",123955,32045,1287,1293,4356,25109,7457,5215,4166,93,137,819,58773,9620,8980,1311,554
"2021","부산",39169,8219,377,229,647,6966,1783,1776,1524,12,37,203,19794,2891,3610,716,380
"2021","대구",28205,6083,184,187,652,5060,1367,1211,1056,12,18,125,13983,2163,2506,660,232
"2021","인천",25754,5208,260,124,391,4433,1327,1086,946,7,2,131,12656,1991,2656,568,262
"2021","광주",18414,3659,148,100,319,3092,1037,686,525,25,7,129,9452,1307,1773,316,184
"2021","대전",16628,3722,174,126,396,3026,852,774,609,19,42,104,7871,1284,1618,365,142
"2021","울산",9531,1789,101,28,90,1570,511,414,352,15,-,47,5044,753,781,145,94
"2021","세종",2065,458,28,-,-,430,138,125,103,-,-,22,882,233,215,6,8
"2021","경기",103616,22813,1039,435,1653,19686,6231,4875,4109,35,60,671,47108,9269,10226,2117,977
"2021","강원",13102,2784,220,89,264,2211,723,572,495,10,8,59,6647,1077,1047,153,99
"2021","충북",11819,2503,219,37,108,2139,681,664,541,13,18,92,5133,1141,1334,235,128
"2021","충남",15824,3270,341,59,202,2668,953,834,702,15,14,103,7420,1464,1485,234,164
"2021","전북",17834,3680,311,93,282,2994,940,940,757,13,26,144,8434,1485,1832,323,200
"2021","전남",17368,3199,465,30,88,2616,803,814,706,13,4,91,8880,1336,1928,192,216
"2021","경북",19840,3627,404,14,42,3167,966,1043,959,8,10,66,10179,1640,1872,256,257
"2021","경남",29444,5683,420,109,298,4856,1426,1262,1128,12,19,103,15046,2235,2916,581,295
"2021","제주",5984,1195,72,28,65,1030,296,251,231,-,-,20,3005,499,606,89,43
