"시점","시도별(1)",합계,합계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과개방,정신과개방,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시점","시도별(1)",소계,소계,소계,소계,상급,상급,일반,일반,외국인,외국인,소계,소계,소계,소계,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시점","시도별(1)",병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개)
"2017","대전",5746,23999,5419,21787,1945,3056,3474,18731,-,-,-,-,260,1765,24,382,20,290,4,92,38,60,5,5
"2017","울산",3870,15502,3630,14091,1547,2327,2083,11764,-,-,-,-,213,1210,14,184,13,154,1,30,8,10,5,7
"2017","세종",339,1342,314,1234,114,185,200,1049,-,-,-,-,25,108,-,-,-,-,-,-,-,-,-,-
"2017","경기",30641,131236,28007,114821,9527,14794,18480,100027,-,-,-,-,2254,14125,175,1914,146,1583,29,331,171,314,34,62
"2017","강원",4374,17966,3933,15080,1510,2277,2423,12803,-,-,-,-,343,2318,40,436,34,375,6,61,55,128,3,4
"2017","충북",5102,21584,4481,17968,1530,2313,2951,15655,-,-,-,-,568,3246,21,293,19,263,2,30,31,73,1,4
"2017","충남",6491,28878,5896,24949,1723,2704,4173,22245,-,-,-,-,554,3562,19,337,17,282,2,55,22,30,-,-
"2017","전북",9392,39981,8963,37175,2964,4724,5999,32451,-,-,-,-,346,2374,32,334,28,277,4,57,44,84,7,14
"2017","전남",10049,40816,9368,36384,3353,5602,6015,30782,-,-,-,-,581,3884,31,386,28,365,3,21,61,150,8,12
"2017","경북",9840,44855,8765,37575,2383,3810,6382,33765,-,-,-,-,968,6710,45,458,42,432,3,26,62,112,-,-
"2017","경남",13792,61966,12289,52645,4506,7284,7783,45361,-,-,-,-,1372,8667,49,503,43,407,6,96,75,141,7,10
"2017","제주",1299,4863,1175,4240,478,605,697,3635,-,-,-,-,70,427,17,148,13,125,4,23,33,42,4,6
"2018","계",172222,707349,159388,629219,49541,74098,109819,554910,28,211,-,-,10408,65069,895,10229,749,8417,146,1812,1291,2455,240,377
"2018","서울",24184,86566,22895,79628,8000,11180,14868,68238,27,210,-,-,624,3591,208,2426,166,1894,42,532,337,726,120,195
"2018","부산",16991,70430,15862,63769,5263,8397,10599,55372,-,-,-,-,928,5589,88,861,73,704,15,157,95,185,18,26
"2018","대구",8436,36970,7738,32792,2389,3476,5349,29316,-,-,-,-,586,3569,49,520,31,370,18,150,50,74,13,15
"2018","인천",7801,34021,7194,29996,1637,2337,5557,27659,-,-,-,-,456,3269,46,581,40,505,6,76,93,161,12,14
"2018","광주",10658,40727,10273,38451,3100,4846,7173,33605,-,-,-,-,324,1820,26,421,23,341,3,80,32,32,3,3
"2018","대전",5924,23865,5609,21751,1982,2993,3627,18758,-,-,-,-,245,1668,25,380,21,288,4,92,40,61,5,5
"2018","울산",3943,15476,3688,14015,1498,2191,2190,11824,-,-,-,-,227,1270,14,174,13,144,1,30,9,10,5,7
"2018","세종",364,1268,338,1158,147,237,190,920,1,1,-,-,25,108,-,-,-,-,-,-,1,2,-,-
"2018","경기",31681,133698,29077,117757,8622,12710,20455,105047,-,-,-,-,2200,13614,180,1939,151,1606,29,333,190,326,34,62
"2018","강원",4412,17852,3997,15216,1321,1855,2676,13361,-,-,-,-,317,2072,40,424,34,366,6,58,55,136,3,4
"2018","충북",5352,22471,4727,18888,1374,1950,3353,16938,-,-,-,-,568,3204,22,300,20,270,2,30,34,75,1,4
"2018","충남",6390,28457,5785,24569,1459,2137,4326,22432,-,-,-,-,559,3507,21,348,19,293,2,55,25,33,-,-
"2018","전북",9794,40291,9305,37314,2760,4287,6545,33027,-,-,-,-,382,2463,31,340,28,283,3,57,69,160,7,14
