시도별,의원,병원,종합병원,상급종합병원,의사,치과의사,한의사,약사,간호사,기타보건의료인,시점
광주광역시,958,85,22,2,3676.0,1030.0,718.0,1307.0,9112.0,2274.0,2020
대전광역시,1090,50,9,1,3680.0,866.0,756.0,1283.0,7457.0,2053.0,2020
울산광역시,614,38,9,0,1762.0,511.0,415.0,739.0,4808.0,970.0,2020
세종특별자치시,190,2,2,0,441.0,127.0,119.0,227.0,754.0,231.0,2020
경기도,7257,288,62,5,22173.0,5983.0,4674.0,9037.0,43922.0,12724.0,2020
강원도,779,45,14,1,2793.0,695.0,543.0,1050.0,6235.0,1209.0,2020
충청북도,897,38,12,1,2541.0,662.0,629.0,1118.0,4869.0,1627.0,2020
충청남도,1089,45,11,2,3244.0,933.0,836.0,1461.0,6112.0,1831.0,2020
전라북도,1172,73,11,2,3682.0,929.0,941.0,1480.0,7971.0,2274.0,2020
전라남도,940,79,22,1,3140.0,782.0,818.0,1305.0,8556.0,2271.0,2020
경상북도,1288,73,20,0,3655.0,958.0,1050.0,1632.0,9693.0,2283.0,2020
경상남도,1657,140,23,2,5619.0,1406.0,1291.0,2192.0,14576.0,3673.0,2020
제주특별자치도,456,7,6,0,1185.0,285.0,244.0,481.0,2799.0,712.0,2020
서울특별시,9189,222,42,14,32045.0,7457.0,5215.0,9620.0,58773.0,10845.0,2021
부산광역시,2468,136,25,3,8219.0,1783.0,1776.0,2891.0,19794.0,4706.0,2021
대구광역시,1884,88,13,5,6083.0,1367.0,1211.0,2163.0,13983.0,3398.0,2021
인천광역시,1633,56,17,3,5208.0,1327.0,1086.0,1991.0,12656.0,3486.0,2021
광주광역시,970,84,21,2,3659.0,1037.0,686.0,1307.0,9452.0,2273.0,2021
대전광역시,1112,46,9,1,3722.0,852.0,774.0,1284.0,7871.0,2125.0,2021
울산광역시,618,33,8,1,1789.0,511.0,414.0,753.0,5044.0,1020.0,2021
세종특별자치시,198,1,2,0,458.0,138.0,125.0,233.0,882.0,229.0,2021
경기도,7487,277,62,5,22813.0,6231.0,4875.0,9269.0,47108.0,13320.0,2021
강원도,782,37,13,2,2784.0,723.0,572.0,1077.0,6647.0,1299.0,2021
충청북도,912,37,12,1,2503.0,681.0,664.0,1141.0,5133.0,1697.0,2021
충청남도,1094,46,11,2,3270.0,953.0,834.0,1464.0,7420.0,1883.0,2021
전라북도,1179,64,11,2,3680.0,940.0,940.0,1485.0,8434.0,2355.0,2021
전라남도,962,74,24,1,3199.0,803.0,814.0,1336.0,8880.0,2336.0,2021
