"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"7인","2021","대전광역시",1,0,0,0,0,23,0,3,0,0,0,2,0,0,0,0,0
"7인","2021","울산광역시",0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0
"7인","2021","세종특별자치시",0,0,0,0,0,1,0,8,1,0,0,1,1,0,0,0,0
"7인","2021","경기도",27,0,0,6,0,1,0,3,363,2,3,8,1,1,0,2,2
"7인","2021","강원도",0,0,0,0,0,1,0,0,7,26,2,0,1,0,0,0,0
"7인","2021","충청북도",0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0
"7인","2021","충청남도",1,1,0,0,0,2,0,0,2,0,1,35,0,1,0,0,0
"7인","2021","전라북도",1,0,0,0,0,0,0,0,2,0,0,0,48,0,0,0,0
"7인","2021","전라남도",0,0,0,0,2,0,0,0,1,0,0,0,0,34,0,0,0
"7인","2021","경상북도",0,2,1,0,0,0,1,0,4,0,0,0,0,0,34,1,0
"7인","2021","경상남도",0,7,0,0,0,0,0,1,1,0,0,0,0,1,0,30,0
"7인","2021","제주특별자치도",2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19
"7인","2022","서울특별시",161,1,0,7,0,1,0,1,37,5,0,0,0,0,0,0,0
"7인","2022","부산광역시",1,47,0,0,0,0,2,0,1,1,0,0,1,0,1,2,0
"7인","2022","대구광역시",0,0,26,0,0,0,0,0,0,0,0,1,0,0,2,2,0
"7인","2022","인천광역시",2,1,0,57,0,1,0,0,8,1,0,0,0,1,0,0,0
"7인","2022","광주광역시",0,0,0,0,19,1,0,0,0,0,0,0,0,2,0,0,1
"7인","2022","대전광역시",1,0,0,0,0,33,0,2,0,0,2,2,0,0,0,1,0
"7인","2022","울산광역시",0,2,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0
"7인","2022","세종특별자치시",0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
"7인","2022","경기도",19,1,1,14,0,1,0,2,264,3,2,7,0,1,1,0,0
"7인","2022","강원도",0,0,0,0,0,0,0,0,1,27,1,0,1,0,0,0,0
"7인","2022","충청북도",0,0,0,0,0,1,0,1,1,1,13,1,0,0,0,0,0
"7인","2022","충청남도",1,0,0,0,0,1,0,0,5,0,1,23,0,0,0,0,1
"7인","2022","전라북도",1,1,0,0,1,2,0,1,0,0,0,1,34,2,0,0,0
"7인","2022","전라남도",0,0,0,0,1,0,0,0,2,0,0,0,0,27,0,0,0
"7인","2022","경상북도",1,0,3,0,0,0,0,1,1,0,1,0,0,0,27,0,0
"7인","2022","경상남도",2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,25,0
"7인","2022","제주특별자치도",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14
"8인","2018","서울특별시",86,0,0,1,0,1,0,1,33,1,0,3,0,1,0,1,0
"8인","2018","부산광역시",1,15,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"8인","2018","대구광역시",0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8인","2018","인천광역시",2,0,0,23,0,0,0,0,9,1,0,0,0,0,0,0,0
"8인","2018","광주광역시",0,1,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0
"8인","2018","대전광역시",1,0,0,0,0,16,0,2,0,0,1,0,0,1,0,0,0
"8인","2018","울산광역시",0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0
"8인","2018","세종특별자치시",1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"8인","2018","경기도",10,3,0,5,0,0,0,1,123,2,2,1,2,1,0,0,0
"8인","2018","강원도",0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0
"8인","2018","충청북도",0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0
"8인","2018","충청남도",1,0,1,0,0,1,0,0,1,0,0,25,0,0,0,0,0
"8인","2018","전라북도",0,0,0,0,0,0,0,0,1,1,0,0,15,0,0,0,1
"8인","2018","전라남도",0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0
"8인","2018","경상북도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"8인","2018","경상남도",1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0
"8인","2018","제주특별자치도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"8인","2019","서울특별시",69,2,0,2,0,0,0,0,16,0,2,1,1,1,0,1,0
"8인","2019","부산광역시",2,24,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0
"8인","2019","대구광역시",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8인","2019","인천광역시",0,0,1,17,0,0,0,1,3,0,0,0,0,0,1,0,1
"8인","2019","광주광역시",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"8인","2019","대전광역시",0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0
