"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"1인","2013","충청북도",9698,935,992,2160,408,4895,597,1157,11854,2540,50438,3605,1053,718,2336,1161,388
"1인","2013","충청남도",13683,1424,1088,4098,835,9765,706,1252,18099,1576,3401,58766,3172,1533,1999,1594,499
"1인","2013","전라북도",11865,1012,601,2440,3567,2772,640,236,11932,959,1284,3858,76741,3493,989,1342,446
"1인","2013","전라남도",11221,2086,603,2380,21351,1147,666,150,10723,843,767,2154,3481,60079,1103,2561,679
"1인","2013","경상북도",12856,6208,23812,2362,493,2130,4968,185,12274,2453,2555,2664,895,976,82084,5760,525
"1인","2013","경상남도",12622,25673,5363,1993,808,1574,5070,153,9884,1552,1254,2014,1271,2627,6059,107928,884
"1인","2013","제주특별자치도",3829,1026,370,709,452,292,242,30,2931,339,271,425,315,591,456,784,20049
"1인","2014","서울특별시",367096,11730,6798,22106,6756,8353,4170,2396,146189,13853,9549,13994,9935,9999,10181,10248,5334
"1인","2014","부산광역시",15492,123437,3347,1878,1063,1324,8017,230,10375,1415,1278,2268,1095,2196,7060,31775,1346
"1인","2014","대구광역시",10215,3798,79539,1265,526,1209,2593,211,7949,1198,1238,1683,639,655,30067,5804,637
"1인","2014","인천광역시",20430,1803,1039,91023,1232,1526,697,359,30853,3415,2564,5259,2248,2347,2403,1960,1032
"1인","2014","광주광역시",8638,1048,451,1319,57690,999,339,279,7241,579,604,1368,3450,22960,649,1066,581
"1인","2014","대전광역시",9868,1291,971,1573,713,49392,528,3225,8544,1124,4983,9950,2426,1023,1741,1389,367
"1인","2014","울산광역시",4946,6896,2077,663,293,480,36879,69,3236,580,540,839,554,597,4769,4831,284
"1인","2014","세종특별자치시",981,140,103,201,98,1401,50,2170,1098,114,1061,1238,203,105,161,138,41
"1인","2014","경기도",130001,8890,6075,31105,6190,7982,3390,2194,398925,17431,13324,20593,11188,10424,11285,9370,4596
"1인","2014","강원도",14653,1400,1005,3372,481,1258,707,187,17464,55718,2671,1902,842,814,2508,1494,498
"1인","2014","충청북도",10048,1136,1040,2178,507,5160,500,1653,12181,2746,51277,3910,1070,763,2311,1197,435
"1인","2014","충청남도",14278,1726,1199,4232,1061,10112,690,1913,18930,1668,3777,61869,3268,1636,2161,1750,537
"1인","2014","전라북도",12101,1126,558,2417,3894,2819,633,413,12081,1009,1397,3898,79262,3587,1012,1410,484
"1인","2014","전라남도",11311,2290,588,2381,24016,1227,657,211,10756,874,858,2100,3529,62453,1121,2628,689
"1인","2014","경상북도",13235,7027,27178,2514,521,2194,5345,286,12159,2476,2733,2711,901,1015,83923,5905,581
"1인","2014","경상남도",13322,29124,5431,1972,841,1521,5281,257,10215,1493,1388,2170,1325,2855,6160,113489,973
"1인","2014","제주특별자치도",4126,1120,386,739,429,312,236,64,3087,332,329,471,378,587,453,753,21351
"1인","2015","서울특별시",379006,11539,6993,22728,6191,8574,4201,2993,152976,15056,9526,14153,10104,9907,10750,10466,6244
"1인","2015","부산광역시",14910,128572,3145,1963,786,1418,8100,369,10362,1516,1353,2089,1083,2300,7311,32799,1682
"1인","2015","대구광역시",10050,3397,84968,1234,360,1266,2591,324,7871,1222,1299,1515,571,654,27509,5744,846
"1인","2015","인천광역시",20481,1719,1046,95646,1156,1644,784,501,31721,3717,2667,5279,2189,2263,2484,2109,1209
"1인","2015","광주광역시",8231,947,343,1372,56508,926,362,333,7064,686,645,1306,3540,24344,673,1121,671
"1인","2015","대전광역시",9713,1247,967,1598,776,49342,579,5008,9001,1256,5112,9598,2376,1036,1937,1445,584
"1인","2015","울산광역시",5173,7056,2107,688,285,546,38651,137,3513,709,641,920,484,714,5235,5045,370
"1인","2015","세종특별자치시",1455,189,119,247,141,1836,69,3223,1497,179,1255,1578,249,136,208,201,77
"1인","2015","경기도",128779,8616,5877,31657,5580,8519,3448,2843,417432,18467,13564,21241,10847,10148,12004,9771,5449
"1인","2015","강원도",14927,1447,1093,3381,525,1330,732,282,17976,55501,2839,1985,891,831,2522,1470,533
"1인","2015","충청북도",9909,1072,909,2345,460,5111,599,2271,12890,2934,51305,4049,1136,858,2513,1337,511
"1인","2015","충청남도",14110,1613,1101,4275,938,9796,814,2805,20385,1855,3924,62009,3488,1578,2184,1826,697
"1인","2015","전라북도",11653,1132,586,2321,3680,2886,649,576,12022,1075,1451,4109,78252,3547,963,1427,629
"1인","2015","전라남도",11015,2274,611,2484,23498,1276,761,317,10908,943,1005,2293,3549,61345,1167,2943,868
"1인","2015","경상북도",13013,7142,26899,2489,606,2357,5654,426,13006,2643,2762,2745,928,1067,86576,6359,801
"1인","2015","경상남도",13275,29617,5554,2173,907,1572,5318,374,10573,1644,1473,2099,1310,2818,6479,116202,1183
"1인","2015","제주특별자치도",4585,1198,541,784,488,353,268,82,3488,380,372,565,394,664,582,936,22082
"1인","2016","서울특별시",377369,10654,6812,23266,5853,8519,3681,2904,156517,14320,9578,13984,9592,9146,9846,9845,6480
"1인","2016","부산광역시",15208,127638,3160,2050,727,1495,7010,412,10542,1444,1239,2017,1052,2268,6411,31272,1757
"1인","2016","대구광역시",10136,3440,81842,1302,345,1229,2351,300,7929,1114,1237,1511,598,631,25314,5554,920
"1인","2016","인천광역시",20525,1602,998,94054,1096,1606,630,528,32493,3476,2562,5062,2277,2158,2244,1810,1343
"1인","2016","광주광역시",8262,893,369,1348,54825,991,269,315,6741,535,567,1303,3614,21067,562,914,728
"1인","2016","대전광역시",10160,1134,1012,1608,716,51110,435,4933,9176,1169,4969,9866,2361,1046,1800,1323,535
"1인","2016","울산광역시",5397,6752,2158,701,267,610,36373,134,3713,725,623,870,492,639,5083,5244,477
"1인","2016","세종특별자치시",1818,205,133,298,129,2296,66,4351,1796,217,1363,1867,368,195,263,196,77
"1인","2016","경기도",130743,8272,5660,31950,5039,8553,2916,2876,428617,17761,13394,21092,10288,9300,10829,8922,5899
"1인","2016","강원도",15074,1462,1088,3483,479,1372,621,322,18303,57994,3016,1920,907,807,2390,1439,599
"1인","2016","충청북도",10235,1052,998,2278,418,5368,468,2092,12927,2795,50451,3808,1097,808,2252,1139,572
"1인","2016","충청남도",14180,1507,1069,4302,970,10288,692,2580,20019,1676,3686,62732,3350,1635,1867,1691,677
"1인","2016","전라북도",12042,1100,583,2348,3716,2988,513,674,12445,930,1413,4011,76879,3628,911,1386,720
"1인","2016","전라남도",11472,2327,664,2436,22055,1376,659,341,11359,847,949,2271,3832,61204,1115,2776,917
"1인","2016","경상북도",13121,6598,24640,2470,522,2413,4700,453,13131,2469,2743,2565,899,1100,81419,5875,871
"1인","2016","경상남도",13635,29130,5664,2117,848,1785,5037,370,10722,1561,1542,2194,1380,2792,6140,113384,1390
"1인","2016","제주특별자치도",4864,1238,571,895,466,400,297,91,3948,441,433,518,476,748,565,902,24726
"1인","2017","서울특별시",378689,10389,6363,22617,5613,8127,3222,2882,153087,14169,9239,14046,9348,8954,9133,9175,6483
"1인","2017","부산광역시",15060,130811,3279,1996,712,1441,6531,399,10720,1540,1352,2116,1070,2209,6363,33014,1906
"1인","2017","대구광역시",10241,3480,83019,1412,330,1324,1895,373,8052,1148,1250,1603,601,614,25007,5161,1086
"1인","2017","인천광역시",21249,1644,1045,92370,1008,1607,608,539,33039,3486,2584,5219,2219,2120,2236,1792,1493
"1인","2017","광주광역시",8418,787,387,1344,54633,914,253,406,6638,605,620,1393,3540,21813,553,815,741
"1인","2017","대전광역시",10456,1177,923,1637,662,50792,454,5700,8988,1242,5083,9400,2453,973,1756,1270,511
"1인","2017","울산광역시",5202,7061,2164,711,254,586,34539,155,3990,636,613,959,446,659,4933,4923,454
"1인","2017","세종특별자치시",2069,262,190,375,216,3045,72,5743,1985,270,1481,2002,388,226,281,256,130
"1인","2017","경기도",134291,8094,5506,32286,4935,8450,2525,2880,432136,18035,13857,22024,10641,9186,10164,8270,6306
"1인","2017","강원도",15032,1389,1001,3322,463,1357,537,366,18007,57706,2903,1969,827,748,2316,1304,577
"1인","2017","충청북도",10279,1083,975,2326,454,5540,421,2177,12814,2937,50024,3951,1110,761,2371,1128,621
"1인","2017","충청남도",14087,1533,1037,4345,965,10306,601,2707,19791,1692,3744,62434,3496,1652,1931,1604,795
"1인","2017","전라북도",11857,1120,516,2469,3767,3143,572,646,12533,1021,1437,4101,75069,3532,908,1332,751
"1인","2017","전라남도",10970,2312,587,2469,21843,1327,608,376,10566,832,975,2337,3858,62623,1104,2486,947
"1인","2017","경상북도",12764,6615,24749,2490,524,2431,4397,529,13069,2376,2748,2728,901,1019,80492,5540,949
"1인","2017","경상남도",13927,31482,5676,2271,836,1765,4665,426,11234,1569,1443,2551,1340,2822,6254,109101,1547
"1인","2017","제주특별자치도",5262,1380,659,1024,581,476,257,123,4376,454,445,629,542,768,664,945,25602
"2인","2012","서울특별시",88257,955,610,3970,625,921,318,214,28951,1647,1012,1652,1130,1003,1059,903,544
"2인","2012","부산광역시",1072,27849,354,207,81,148,668,22,998,134,104,195,123,243,728,3987,136
"2인","2012","대구광역시",666,314,20411,129,48,154,228,12,799,129,134,143,52,59,3537,613,53
"2인","2012","인천광역시",2169,168,126,23326,113,196,71,45,4789,380,316,668,289,266,321,232,97
"2인","2012","광주광역시",662,79,45,133,12611,96,29,14,698,54,50,112,443,2854,43,87,49
"2인","2012","대전광역시",825,139,104,177,67,11922,68,544,972,149,599,1149,287,108,166,152,44
"2인","2012","울산광역시",333,579,177,61,28,45,7856,5,303,63,62,72,64,68,613,550,27
"2인","2012","세종특별자치시",60,13,2,14,7,201,4,333,101,12,148,146,17,13,15,11,0
"2인","2012","경기도",19544,939,678,5872,703,1023,315,294,102404,2294,1852,2869,1478,1183,1361,1100,467
"2인","2012","강원도",1313,148,108,345,53,201,93,22,1957,12039,328,221,95,101,272,185,48
"2인","2012","충청북도",801,100,127,222,48,615,58,212,1386,330,11079,404,124,67,248,161,51
"2인","2012","충청남도",1293,136,114,484,100,1225,69,294,2337,207,426,13157,416,181,188,201,57
"2인","2012","전라북도",1039,78,75,236,394,321,76,35,1218,95,141,383,16703,413,93,155,32
"2인","2012","전라남도",941,204,47,258,2945,126,47,26,1098,98,82,196,419,11709,115,301,68
"2인","2012","경상북도",943,596,3371,280,48,240,516,19,1329,283,308,261,94,107,16820,609,57
"2인","2012","경상남도",983,3331,605,225,100,158,588,16,1020,201,128,220,175,341,708,22217,74
"2인","2012","제주특별자치도",363,90,36,73,50,34,32,5,294,36,41,41,48,66,54,65,4636
"2인","2013","서울특별시",86711,997,602,3745,571,814,322,206,28006,1497,990,1637,1106,1006,953,864,574
"2인","2013","부산광역시",950,29525,323,182,71,116,681,11,980,123,122,179,115,251,645,4352,128
"2인","2013","대구광역시",709,345,20491,144,46,118,201,7,787,98,124,167,68,60,3508,660,53
"2인","2013","인천광역시",2210,188,121,23625,137,178,83,27,4872,394,315,688,285,275,287,253,143
"2인","2013","광주광역시",623,61,43,134,12440,98,27,17,648,54,47,100,444,2753,44,84,55
"2인","2013","대전광역시",837,115,117,167,83,11902,42,285,953,173,670,1255,304,113,173,154,57
"2인","2013","울산광역시",269,641,190,57,20,56,7715,13,313,67,63,68,73,75,592,533,26
"2인","2013","세종특별자치시",71,10,2,27,8,186,3,358,109,14,139,195,17,7,13,10,2
"2인","2013","경기도",18590,921,643,5672,642,989,369,304,101099,2224,1719,2781,1372,1163,1350,1094,574
"2인","2013","강원도",1104,133,100,323,52,166,66,19,1750,11802,296,205,111,111,261,168,51
"2인","2013","충청북도",754,109,121,247,42,605,77,221,1353,289,11411,427,118,87,251,138,47
"2인","2013","충청남도",1146,142,137,489,87,1159,82,223,2184,196,393,12828,393,172,205,181,69
"2인","2013","전라북도",870,87,62,240,420,278,67,28,1129,84,123,382,15891,373,102,154,43
"2인","2013","전라남도",804,210,59,228,2941,103,70,20,1010,93,79,213,408,12557,118,276,71
"2인","2013","경상북도",860,560,3336,253,37,220,497,22,1257,258,286,283,106,105,16531,548,59
"2인","2013","경상남도",877,3188,581,243,73,169,585,14,946,153,139,204,155,294,642,22603,101
"2인","2013","제주특별자치도",341,119,35,76,57,31,20,4,302,32,40,39,45,73,51,83,4959
"2인","2014","서울특별시",88434,977,604,3412,566,854,314,440,26884,1504,981,1497,955,995,956,931,690
"2인","2014","부산광역시",977,29734,302,187,115,109,738,42,967,128,110,234,101,219,755,4590,164
"2인","2014","대구광역시",644,372,20339,121,51,153,201,33,672,112,120,163,51,72,4180,672,61
"2인","2014","인천광역시",2259,199,90,23955,121,185,61,71,5021,400,342,684,282,290,278,219,146
"2인","2014","광주광역시",573,86,48,132,13027,98,30,42,688,56,57,155,468,3036,71,107,69
"2인","2014","대전광역시",716,123,126,152,75,12454,51,932,900,147,558,1153,308,119,187,169,64
"2인","2014","울산광역시",278,620,210,64,25,47,8835,11,278,81,64,90,73,83,595,581,33
"2인","2014","세종특별자치시",72,9,13,23,15,200,6,712,126,11,125,178,24,7,19,16,5
"2인","2014","경기도",18029,983,647,5499,667,979,410,506,102865,2199,1738,2874,1418,1265,1346,1082,741
"2인","2014","강원도",1191,128,79,359,55,159,71,37,1880,12276,306,236,94,79,263,162,50
"2인","2014","충청북도",706,136,104,240,62,593,58,442,1323,337,11498,470,123,80,242,138,71
"2인","2014","충청남도",1130,168,120,477,140,1126,66,422,2166,199,416,13505,405,137,219,207,66
"2인","2014","전라북도",915,99,50,241,466,288,54,53,1118,108,128,379,17124,413,85,151,49
"2인","2014","전라남도",808,202,59,253,3158,142,69,25,994,94,98,168,420,13044,125,296,79
"2인","2014","경상북도",799,627,3465,244,56,206,493,34,1180,256,254,282,100,159,16966,603,65
"2인","2014","경상남도",771,3298,535,200,92,171,596,50,911,153,152,207,153,289,634,24776,135
"2인","2014","제주특별자치도",336,111,44,74,36,36,28,9,357,37,41,50,40,65,46,78,5262
"2인","2015","서울특별시",92536,965,529,3540,526,834,290,559,29798,1581,1026,1606,956,992,957,888,768
"2인","2015","부산광역시",885,31705,266,201,67,141,736,65,1031,140,124,181,103,247,763,4543,191
"2인","2015","대구광역시",561,283,20967,116,35,143,217,69,722,111,113,151,54,52,3786,644,97
"2인","2015","인천광역시",2260,197,105,26107,133,170,84,87,4964,440,360,692,281,303,255,255,169
"2인","2015","광주광역시",543,71,33,122,12459,84,26,57,587,48,69,115,452,3170,56,88,82
"2인","2015","대전광역시",672,135,106,147,92,11466,48,1677,914,111,605,1111,250,119,176,151,66
"2인","2015","울산광역시",287,654,205,77,30,50,8909,28,356,74,93,92,55,94,694,608,52
"2인","2015","세종특별자치시",151,22,16,27,16,238,6,1026,169,12,174,208,27,14,30,26,14
"2인","2015","경기도",17005,928,566,5532,511,921,371,634,107371,2227,1783,2930,1402,1240,1448,1170,876
"2인","2015","강원도",1081,123,88,301,61,170,63,54,1787,12104,318,230,115,129,277,181,65
"2인","2015","충청북도",700,125,89,214,51,509,68,618,1286,323,11127,414,124,85,240,150,59
"2인","2015","충청남도",1042,130,127,401,90,1112,93,597,2205,199,418,13145,358,170,249,217,75
"2인","2015","전라북도",751,96,42,210,419,251,70,88,1089,88,146,368,16176,336,90,139,76
"2인","2015","전라남도",716,193,59,215,2937,127,72,46,998,106,95,167,391,12283,125,267,104
"2인","2015","경상북도",796,626,3214,236,55,199,555,67,1263,277,270,273,102,124,17721,653,76
"2인","2015","경상남도",742,3510,563,202,94,167,557,78,993,149,152,258,142,331,687,24449,129
"2인","2015","제주특별자치도",365,123,49,95,54,36,37,14,429,49,37,56,44,66,47,104,5258
"2인","2016","서울특별시",87690,832,537,3488,474,728,267,471,30041,1544,996,1591,927,854,889,755,811
"2인","2016","부산광역시",855,29607,221,183,50,130,526,49,996,124,138,214,132,248,650,4580,206
"2인","2016","대구광역시",534,237,19229,97,43,111,149,40,622,111,97,139,68,57,3219,573,93
"2인","2016","인천광역시",2065,173,84,24679,124,133,80,97,4999,395,333,689,288,275,243,185,172
"2인","2016","광주광역시",478,73,38,133,12236,75,25,37,585,54,49,119,415,2728,44,94,77
"2인","2016","대전광역시",674,90,110,137,62,11379,39,1350,895,112,562,1135,259,107,178,133,57
"2인","2016","울산광역시",294,573,165,74,25,50,8082,23,364,58,73,101,60,91,626,650,48
"2인","2016","세종특별자치시",167,23,14,46,12,380,7,1129,242,31,192,270,39,19,27,33,24
"2인","2016","경기도",16320,762,551,4985,542,858,254,489,106698,2312,1709,2864,1250,1141,1277,970,846
"2인","2016","강원도",1051,112,98,321,55,126,53,43,1841,12482,335,188,83,105,232,146,65
"2인","2016","충청북도",662,93,81,208,38,498,41,400,1207,300,10711,417,118,80,214,112,60
"2인","2016","충청남도",989,129,123,409,86,981,68,462,2137,211,343,13342,368,173,184,203,69
"2인","2016","전라북도",737,81,59,213,436,255,48,86,1087,114,126,383,15261,358,77,113,71
"2인","2016","전라남도",778,206,57,279,2709,113,60,35,1034,129,100,196,432,11791,109,310,83
"2인","2016","경상북도",717,539,2869,223,45,197,440,51,1187,271,282,240,83,100,16406,578,84
"2인","2016","경상남도",746,3041,589,180,87,168,475,61,952,160,173,232,159,309,611,22548,157
"2인","2016","제주특별자치도",375,120,49,106,48,37,24,15,458,43,50,72,52,82,57,106,5692
"2인","2017","서울특별시",83450,751,467,3131,464,677,194,423,28120,1460,902,1482,877,806,769,740,726
"2인","2017","부산광역시",878,27923,246,190,70,126,541,61,920,174,126,200,95,220,609,5198,214
"2인","2017","대구광역시",555,249,19360,90,37,107,122,47,680,92,99,159,62,66,3232,564,102
"2인","2017","인천광역시",1967,164,100,22741,98,144,51,83,5103,395,294,659,268,231,218,199,191
"2인","2017","광주광역시",482,58,30,119,12094,67,18,48,556,38,39,112,402,2590,48,92,70
"2인","2017","대전광역시",661,108,104,136,47,10786,33,1800,860,136,561,1098,210,88,172,117,63
"2인","2017","울산광역시",286,571,196,63,25,56,7571,16,362,63,68,120,57,89,627,596,77
"2인","2017","세종특별자치시",187,25,18,43,18,395,5,1745,247,38,214,299,59,27,33,35,19
"2인","2017","경기도",16161,744,522,4618,494,828,202,549,103073,2101,1675,3024,1201,1039,1135,932,812
"2인","2017","강원도",973,114,80,303,34,144,46,57,1735,11248,333,196,83,93,232,146,72
"2인","2017","충청북도",583,103,92,217,47,510,41,450,1248,287,10318,446,125,96,240,115,69
"2인","2017","충청남도",944,117,109,412,80,912,51,507,2052,175,368,13119,342,163,170,171,108
"2인","2017","전라북도",765,86,61,221,394,291,81,115,1136,99,114,372,14291,400,81,137,71
"2인","2017","전라남도",666,168,52,208,2596,107,61,48,946,95,107,203,440,11435,106,284,80
"2인","2017","경상북도",683,459,2727,202,60,198,418,71,1169,210,265,271,109,120,16289,555,93
"2인","2017","경상남도",705,2983,566,210,82,146,428,71,992,133,125,270,164,327,582,22169,166
"2인","2017","제주특별자치도",429,134,63,80,55,43,36,20,467,46,62,70,53,64,74,101,5520
"3인","2012","서울특별시",70386,449,351,2795,286,553,198,166,21253,754,504,750,490,392,435,424,289
"3인","2012","부산광역시",488,22603,207,135,54,98,431,22,599,70,56,113,54,109,327,2419,70
"3인","2012","대구광역시",354,199,17821,81,17,85,152,14,550,61,69,115,26,29,2014,320,36
"3인","2012","인천광역시",1284,96,72,20715,75,118,42,41,3384,186,193,352,165,137,172,139,70
"3인","2012","광주광역시",250,44,21,79,9320,63,23,18,412,31,27,79,225,1295,24,55,37
"3인","2012","대전광역시",412,84,84,138,48,10263,43,561,670,105,332,675,180,53,97,99,22
"3인","2012","울산광역시",188,352,113,38,17,36,7258,2,203,42,24,61,36,31,308,322,12
"3인","2012","세종특별자치시",32,2,1,14,3,109,4,316,79,6,101,87,10,7,7,9,1
"3인","2012","경기도",12461,593,478,4674,452,877,238,355,88942,1346,1089,1723,752,599,753,758,318
"3인","2012","강원도",513,71,77,197,34,155,37,9,1106,8361,168,145,57,79,154,129,23
"3인","2012","충청북도",314,50,60,137,34,394,39,162,813,162,8289,263,74,54,137,83,18
"3인","2012","충청남도",572,98,96,293,68,790,54,258,1347,134,249,10028,225,102,151,141,25
"3인","2012","전라북도",335,46,33,139,216,203,47,22,646,44,78,243,10651,163,50,71,25
"3인","2012","전라남도",295,108,25,123,1378,67,40,14,501,76,50,123,208,7738,60,171,50
"3인","2012","경상북도",389,294,1930,143,28,116,276,17,752,146,146,209,68,84,12148,346,35
"3인","2012","경상남도",414,2018,359,163,51,126,396,12,686,114,73,167,96,182,390,17322,65
"3인","2012","제주특별자치도",144,50,23,47,25,23,13,6,174,20,24,24,16,30,18,52,3405
"3인","2013","서울특별시",69648,526,370,2643,287,527,181,177,20686,678,430,744,431,396,400,486,340
"3인","2013","부산광역시",439,24408,170,126,39,77,417,12,565,80,57,87,46,122,297,2725,75
"3인","2013","대구광역시",347,184,18236,95,24,106,138,10,516,58,79,76,31,29,1992,337,30
"3인","2013","인천광역시",1319,119,78,21317,95,112,59,31,3466,227,179,386,153,132,163,124,80
"3인","2013","광주광역시",257,46,29,93,9748,75,16,11,389,37,27,63,229,1255,25,49,29
"3인","2013","대전광역시",425,75,84,111,49,10070,41,231,701,133,348,726,142,57,93,90,34
"3인","2013","울산광역시",151,463,135,40,22,26,7309,3,255,28,29,63,59,33,315,378,15
"3인","2013","세종특별자치시",27,10,6,12,5,111,6,258,59,10,97,100,9,4,11,6,2
"3인","2013","경기도",12164,652,491,4534,391,793,248,227,88018,1219,1001,1632,696,571,740,676,379
"3인","2013","강원도",530,66,63,181,29,142,35,18,1044,8037,175,144,57,68,152,112,26
"3인","2013","충청북도",317,52,64,104,31,350,60,156,812,152,8869,246,88,49,132,101,17
"3인","2013","충청남도",552,81,74,261,62,615,60,143,1272,118,237,9965,225,93,119,129,28
"3인","2013","전라북도",319,48,36,138,188,162,52,27,532,61,59,192,10478,174,57,76,34
"3인","2013","전라남도",297,104,42,98,1380,73,38,6,439,58,37,129,197,8372,63,168,39
"3인","2013","경상북도",320,288,1873,142,30,128,262,17,688,140,119,174,48,64,11863,340,38
"3인","2013","경상남도",409,2107,324,123,64,137,408,14,601,100,76,144,99,180,367,18348,51
"3인","2013","제주특별자치도",146,54,33,45,33,17,12,0,186,22,14,28,22,52,37,52,3937
"3인","2014","서울특별시",73746,553,313,2306,297,510,197,456,19912,665,437,685,422,396,390,448,393
"3인","2014","부산광역시",493,23630,187,126,59,83,397,20,564,63,73,128,40,118,311,2853,68
"3인","2014","대구광역시",330,226,17584,64,34,109,127,29,463,65,78,81,39,23,2166,370,46
"3인","2014","인천광역시",1433,122,75,20809,87,118,45,59,3500,200,148,371,143,133,156,149,80
"3인","2014","광주광역시",266,53,33,64,10327,61,15,26,454,41,44,72,205,1387,23,56,47
"3인","2014","대전광역시",406,98,85,104,59,10846,37,994,648,101,330,671,161,57,102,103,42
"3인","2014","울산광역시",138,435,125,36,10,33,8361,8,216,35,37,53,70,28,304,386,21
"3인","2014","세종특별자치시",49,9,8,13,5,148,2,689,60,7,82,96,13,10,13,9,0
"3인","2014","경기도",11950,669,471,4161,420,714,268,492,88215,1195,1026,1639,787,638,671,687,464
"3인","2014","강원도",499,63,55,170,36,157,53,37,984,8982,172,129,55,71,134,121,33
"3인","2014","충청북도",298,64,72,130,42,331,35,436,724,181,8377,232,69,29,114,77,49
"3인","2014","충청남도",485,109,97,260,59,695,48,381,1224,108,250,9961,221,110,138,125,37
"3인","2014","전라북도",318,36,33,112,218,172,33,56,563,47,93,212,11518,196,47,92,27
"3인","2014","전라남도",281,79,34,95,1431,68,35,16,410,89,44,93,184,8965,62,176,36
"3인","2014","경상북도",330,323,2024,141,22,134,294,32,655,140,122,168,51,67,11740,361,42
"3인","2014","경상남도",335,2163,285,134,58,108,363,30,575,104,95,141,96,175,299,20648,77
"3인","2014","제주특별자치도",164,58,18,48,21,25,14,4,226,22,24,32,19,33,23,55,3648
"3인","2015","서울특별시",76227,539,303,2386,280,533,161,480,21868,715,481,796,458,410,383,492,467
"3인","2015","부산광역시",410,25783,117,117,42,75,366,49,531,79,62,101,60,125,312,2515,114
"3인","2015","대구광역시",289,180,17950,79,27,61,102,52,434,65,62,84,42,31,1876,301,46
"3인","2015","인천광역시",1334,119,67,22450,67,121,47,100,3594,204,191,384,121,152,137,144,113
"3인","2015","광주광역시",244,48,20,75,9297,62,14,69,331,32,26,68,185,1563,29,51,49
"3인","2015","대전광역시",369,85,75,89,44,9295,42,1930,601,111,305,631,132,68,103,93,41
